statementId,statement,published
1,1 plus 1 is 2,0
2,5 is alot bigger than 1,0
3,a balanced diet and regular exercise is needed to remain healthy,0
4,a ball is round,0
5,a baton twirler doesn't want a broken finger,0
6,a battery can't provide power forever,0
7,a bill is not wanted,0
8,a birthday would make you want to bake a cake,0
9,a birthday would make you want to buy something for a loved one,0
10,a building where christians worship is called a church,0
11,a cat doesn't want a bath,0
12,a cat doesn't want its tail pulled,0
13,a cat doesn't want to be wet,0
14,a cat doesn't want to get wet,0
15,a cat is a feline,0
16,a celebrity is a person who works hard all his life to become well known then wears dark glasses to avoid being recognized,0
17,a child does not laugh at the ugliness of its mother,0
18,a circle is round,0
19,a computer can be turned on by pressing its power button,0
20,a computer virus is not living,0
21,a couch potato needs to establish a program to promote good health and fitness,0
22,a crime would make you want to conduct a trial,0
23,a deaf husband and a blind wife are a happy couple,0
24,a democracy is two wolves and a small lamb voting on what to have for dinner freedom under a constitutional republic is a well armed lamb contesting the vote,0
25,a desire to share knowledge would make you want to teach other people,0
26,a different language is a different vision of life,0
27,a doctor and a farmer know more than a doctor alone,0
28,a dog doesn't want fleas,0
29,a fanatic is one who can``t change his mind and won``t change the subject,0
30,a few people don t say what they think and some others don t think before they speak,0
31,a few vices are sufficient to darken many virtues,0
32,a fool is busy with anyone s business but his own,0
33,a fracking ban should not be implemented,0
34,a freshman in college would drop out,0
35,a full bladder would make you want to urinate,0
36,a gardener s dog neither eats cabbage nor lets anybody else,0
37,a gay person doesn't want homophobia,0
38,a generally accepted opinion is not on that basis guaranteed valid or a proof of its accuracy equally it is not proof of its falsity,0
39,a goal should scare you a little and excite you a lot,0
40,a good laugh and a long sleep are the best cures in the doctor s book,0
41,a good logistics corridor will have great access to water rail highway and a large market for service,0
42,a good marriage would be between a blind wife and a deaf husband,0
43,a good nights sleep is often over looked by health nuts and fitness fanatics',0
44,a good way to be healthy is to exercise,0
45,a grain of sand is very small,0
46,a great boss would not make employees work overtime without compensation,0
47,a gregarious person doesn't want to be alone,0
48,a happy marriage is a long conversation which always seems too short,0
49,a heart can no more be forced to love than a stomach can be forced to digest food by persuasion,0
50,a hexagon will always have six sides,0
51,a hidden connection is stronger than an obvious one,0
52,a human must turn information into intelligence or knowledge we've tended to forget that no computer will ever ask a new question,0
53,a husband is a guy who tells you when you``ve got on too much lipstick,0
54,a lawyer s opinion is worth nothing until paid for,0
55,a life of leisure is a kingdom with less care than a kingdom requires,0
56,a loving heart maintains a family a hateful heart destroys it,0
57,a low covid positivity rate should allow for restrictions to be loosened,0
58,a man finds himself seven years older the day after his marriage,0
