statement,fact,fact_explanation,fact_confidence,physical,physical_explanation,physical_confidence,literal language,literal language_explanation,literal language_confidence,positive,positive_explanation,positive_confidence,knowledge,knowledge_explanation,knowledge_confidence,everyday,everyday_explanation,everyday_confidence,commonsense,design_point,model
A stitch in time saves nine.,0,"It reflects wisdom, not provable fact. It is not objective as exceptions exist.",4,1,"It references sewing, a tangible physical task. It is not purely social as it relies on material work.",3,0,It uses metaphor where stitches represent effort. It is not literal language.,4,0,"It prescribes behavior using 'saves', implying what should be done. It is not descriptive of what is.",4,0,"It infers future savings from present action, using logic. It is not just observation but a causal conclusion.",4,0,It generalizes a principle beyond specific instances. It is not tied to one everyday event but a rule.,4,It advises preventing problems early to avoid greater effort later.,"['opinion', 'physical', 'figure of speech', 'normative', 'reasoning', 'abstract']",inception/mercury-2.5
Don't count your chickens before they hatch.,0,It is a belief on prudence. It is not demonstrably correct.,4,1,It references biology of eggs hatching. It is not solely social convention.,3,0,It uses metaphorical counting of unborn animals. It is not plain literal language.,4,0,It uses 'Don't' to prescribe conduct. It is not positive description.,4,0,It concludes uncertainty requires caution. It is not just knowledge but a logical warning.,4,0,"It applies to all risks, not just farms. It is not limited to immediate experience.",4,It warns against assuming success before it happens.,"['opinion', 'physical', 'figure of speech', 'normative', 'reasoning', 'abstract']",inception/mercury-2.5
Actions speak louder than words.,0,It is subjective about trust. It is not objectively verifiable.,4,1,It relies on physical behavior versus sound. It is not purely abstract.,3,0,It personifies actions as speakers. It is not literal.,4,0,It implies we should value actions. It is not just observation.,4,0,It concludes actions prove intent better than speech. It is not mere fact but inference.,4,0,It generalizes human interaction patterns. It is not specific to one situation.,4,It suggests behavior reveals truth more than speech.,"['opinion', 'physical', 'figure of speech', 'normative', 'reasoning', 'abstract']",inception/mercury-2.5
Too many cooks spoil the broth.,0,It is a judgment on efficiency. It is not proven fact.,4,1,It references cooking a physical process. It is not purely social.,3,0,It uses cooking as a metaphor. It is not literal.,4,0,It implies limiting helpers is wise. It is not descriptive.,4,0,It concludes excess causes failure. It is not just a fact.,4,0,It applies to teamwork generally. It is not about one pot.,4,It warns that too many helpers ruin a task.,"['opinion', 'physical', 'figure of speech', 'normative', 'reasoning', 'abstract']",inception/mercury-2.5
Haste makes waste.,0,It is subjective about pacing. It is not objective.,4,1,It implies physical speed affects output. It is not purely social.,3,0,It uses rhyme and metaphor. It is not literal.,4,0,It advises slowing down. It is not positive.,4,0,It links speed to inefficiency logically. It is not just observation.,4,0,It generalizes a work principle. It is not about a specific task.,4,It says rushing leads to errors and loss.,"['opinion', 'physical', 'figure of speech', 'normative', 'reasoning', 'abstract']",inception/mercury-2.5
You reap what you sow.,0,It is belief about justice. It is not objective.,4,1,It references farming physics. It is not purely social.,3,0,It uses planting metaphor. It is not literal.,4,0,It implies moral responsibility. It is not just positive.,4,0,It infers future results from past seeds. It is not mere knowledge.,4,0,It applies to life broadly. It is not literal everyday experience.,4,It says consequences match your prior actions.,"['opinion', 'physical', 'figure of speech', 'normative', 'reasoning', 'abstract']",inception/mercury-2.5
Birds of a feather flock together.,0,It is a belief about groups. It is not fact.,4,1,It references animal biology. It is not purely social.,3,0,It uses animal metaphor. It is not literal.,4,0,It implies normal social behavior. It is not descriptive only.,3,0,It concludes similarity causes association. It is not just observation.,4,0,It generalizes human attraction. It is not specific daily life.,4,It says people like each other share traits.,"['opinion', 'physical', 'figure of speech', 'normative', 'reasoning', 'abstract']",inception/mercury-2.5
Don't bite the hand that feeds you.,0,It is subjective on loyalty. It is not objective.,4,1,It references eating biology. It is not purely social.,3,0,It uses feeding metaphor. It is not literal.,4,0,It prescribes loyalty. It is not positive.,4,0,It infers survival logic. It is not just fact.,4,0,It applies to all benefits. It is not one instance.,4,It advises not harming those who help.,"['opinion', 'physical', 'figure of speech', 'normative', 'reasoning', 'abstract']",inception/mercury-2.5
"Out of sight, out of mind.",0,It is a belief on focus. It is not fact.,4,1,It references visual perception. It is not purely social.,3,0,It uses metaphorical phrases. It is not literal.,4,0,It implies managing attention. It is not descriptive.,3,0,It infers memory links to visibility. It is not just knowledge.,4,0,It generalizes human forgetfulness. It is not one object.,4,It says we forget what we do not see.,"['opinion', 'physical', 'figure of speech', 'normative', 'reasoning', 'abstract']",inception/mercury-2.5
The early bird catches the worm.,0,It is subjective on timing. It is not objective.,4,1,It references animal feeding. It is not purely social.,3,0,It uses hunting metaphor. It is not literal.,4,0,It urges waking early. It is not positive.,4,0,It infers advantage from timing. It is not observation.,4,0,It applies to all tasks. It is not daily experience.,4,It says acting early wins rewards.,"['opinion', 'physical', 'figure of speech', 'normative', 'reasoning', 'abstract']",inception/mercury-2.5
