source_id,source_row,statement,design_point,gen_model,judge_model,fact_classification,fact_confidence,fact_explanation,physical_classification,physical_confidence,physical_explanation,literal language_classification,literal language_confidence,literal language_explanation,positive_classification,positive_confidence,positive_explanation,knowledge_classification,knowledge_confidence,knowledge_explanation,everyday_classification,everyday_confidence,everyday_explanation,commonsense,commonsense_explanation
09d945842c2fb1d37bdb00986b26361b6d2e6df6da86f472a4cba29fb8ffdd6d:1,701,"Probability tosses life's dice, weaving patterns from uncertainty's tangled threads.",,platform/published,anthropic/claude-opus-5.5:batch,opinion,3,"The poetic claim that probability weaves patterns in life is an interpretive view that cannot be objectively verified. There is a loose factual core about randomness producing statistical regularities, which keeps confidence below maximum.",physical,2,"Probability and the emergence of patterns from randomness are mathematical and natural phenomena. However, the reference to 'life's dice' adds a human-experience framing that makes this uncertain.",figure of speech,4,"The statement relies on metaphor and personification, with probability 'tossing dice' and 'weaving' from 'tangled threads'. It is clearly not meant literally.",positive,2,"It describes how the world works, with uncertainty yielding patterns, rather than prescribing values or norms. Its philosophical tone leaves some ambiguity.",knowledge,3,It presents an observation about the role of chance in life without offering premises or a logical chain leading to a conclusion.,abstract,3,"The idea that probability generates patterns from uncertainty is a general, conceptual regularity that cannot be grasped from individual experience alone. It is phrased at a high level of abstraction.",0,"This is a poetic, philosophical musing about probability rather than a plain, widely shared practical understanding that people rely on in daily life."
9bcd04e734935fddbfbca81c3c93844813ef9609fdf4f5d2f9f99ebf502edd36:1,909,Values influence how societies interact with their environments.,,platform/published,anthropic/claude-opus-5.5:batch,fact,3,"The claim that values shape environmental behavior can be supported empirically through anthropological and sociological studies. Its broad, general phrasing leaves some room for interpretation, so confidence is not maximal.",social,4,"The statement concerns values and societies, which are inherently human constructs. It describes social influences on behavior, not natural laws.",literal language,4,"The statement is plain and direct, with no metaphor, hyperbole, or other figurative device.",positive,3,"Although it mentions values, it describes an empirical regularity about their influence rather than making a value judgment. The presence of the word 'values' creates slight ambiguity.",knowledge,3,"It states a general observation about the world rather than drawing a conclusion from explicit premises. It could be seen as a generalization derived from evidence, which lowers confidence slightly.",abstract,3,"The claim concerns society-level patterns that cannot be fully observed through individual experience. People may, however, see local examples of it, such as recycling norms.",1,"Most people would readily agree that what a society values, such as conservation or economic growth, affects how it treats its environment. It is a widely held, intuitive understanding."
21b3030c68548afcbbd7865887bf5dee84bace1210ca37923f2fa0a4849c446b:1,973,"Cooking methods affect the flavor and texture of food, revealing culinary traditions.",,platform/published,anthropic/claude-opus-5.5:batch,fact,3,"That cooking methods change flavor and texture can be demonstrated empirically, and the link to culinary traditions is broadly verifiable. The interpretive word 'revealing' adds slight subjectivity, so I am not fully certain.",social,2,"The effect on flavor and texture is physical chemistry, but the statement's point concerns culinary traditions, which are socially constructed. This mix makes the classification uncertain.",literal language,3,The statement is plain language. 'Revealing' is a mild non-literal usage but not a true figure of speech.,positive,3,"It describes how things are, namely that cooking affects food and reflects traditions, without prescribing any value or norm.",knowledge,3,"It is primarily an observation about cooking and culture. The implied link between methods and traditions is only a loose inference, not an explicit chain of reasoning.",everyday,3,"People routinely experience how grilling, frying or boiling change food, and they encounter different cuisines in daily life.",1,"Most people know from ordinary experience that how food is cooked changes its taste and texture, and that different cultures have characteristic cooking styles."
a667c99c7f823095ddabb73a06a2db16ae45b608df84e5d72bbd9114c834517d:1,1013,"Every cloud has a silver lining, often hiding hope amid despair.",,platform/published,anthropic/claude-opus-5.5:batch,opinion,4,The claim that every bad situation contains something good is a subjective outlook that cannot be objectively verified. It reflects an optimistic belief rather than a demonstrable truth.,social,4,"Despite mentioning clouds, the statement is about human perceptions of hope and despair. Those are psychological and social experiences, not physical phenomena.",figure of speech,4,'Every cloud has a silver lining' is a well-known proverb and metaphor. It is not a literal claim about clouds.,normative,3,"The statement expresses a value-laden belief that encourages an optimistic attitude toward hardship. It is not describing an empirical regularity, though it is phrased descriptively, which lowers my confidence slightly.",knowledge,3,It asserts a general observation or belief about life rather than drawing a conclusion from explicit premises. The second clause elaborates on the first rather than deriving it.,everyday,3,"People commonly experience setbacks that later turn out to have some benefit, so this idea is rooted in ordinary experience. The universal 'every' generalizes beyond any single experience, which leaves some room for an abstract reading.",1,"This is a widely known proverb expressing folk wisdom that most people recognize and broadly accept as a reasonable outlook on hardship, even if it is not literally or universally true."
a9ac05a9bec47ecaa534fd683ab18d6d877c904119d2f0429f27359820f2bda6:1,988,Dietary recommendations may reflect evolving scientific understandings of nutrition.,,platform/published,anthropic/claude-opus-5.5:batch,fact,3,Whether dietary guidelines have changed alongside new nutritional research can be checked against the historical record of guideline revisions. The hedge 'may' softens the claim but does not make it subjective.,social,3,"Dietary recommendations are human-made guidelines issued by institutions, which makes them socially constructed even though they draw on biological science.",literal language,4,"The statement is plain and direct, with no metaphor, hyperbole or other figurative device.",positive,3,"It describes how recommendations relate to scientific understanding rather than judging what people should eat. Recommendations are normative in themselves, which leaves slight ambiguity.",knowledge,3,It states an observation about the world rather than drawing a conclusion from explicit premises.,everyday,3,"People commonly encounter changing diet advice, such as shifting views on fats or eggs, through news and daily life.",1,"Most people recognize that nutrition advice changes over time as science learns more, so this is a widely held, intuitive belief."
269c8597c4e585e7fe2da8f2648845b81595e5d1a0e2a09746180dacc0fd1960:1,472,Genetic information in DNA determines hereditary traits.,,platform/published,anthropic/claude-opus-5.5:batch,fact,4,"The role of DNA in heredity is an empirically established scientific finding that can be demonstrated independently of anyone's opinion. It is well supported by genetics research, so confidence is very high.",physical,4,"The statement describes a biological mechanism, which is an objective feature of the natural world. Nothing in it depends on human beliefs or social constructs.",literal language,3,"The statement is plain and means what it says. Words like 'information' and 'determines' are standard scientific terms rather than figures of speech, though 'information' has a slightly metaphorical origin.",positive,4,It describes an empirical regularity of biology rather than making a value judgment or prescribing a norm.,knowledge,3,"It states an established observation about the world rather than drawing a conclusion from explicit premises. The underlying science involved inference, but the statement itself presents no reasoning chain.",abstract,3,"People notice family resemblances in everyday life, but the fact that DNA carries hereditary information cannot be observed through individual experience. It requires scientific investigation to establish.",0,"Although widely taught and broadly known, this is scientific knowledge acquired through formal education rather than something people intuitively grasp from everyday experience. The general idea that traits run in families is common sense, but the role of DNA is not."
682277fa74df70a0716f55b9efabed0d31751762c6e29f617c9f2c913374ef8b:1,126,"No pain, no gain.",,platform/published,anthropic/claude-opus-5.5:batch,opinion,3,"The claim that gain always requires pain is a subjective generalization that cannot be objectively demonstrated, since many gains come without hardship. It has some empirical grounding in areas like exercise, which keeps confidence below maximum.",social,3,"The saying is mainly a cultural maxim about effort, perseverance, and success in human endeavors. It originated partly in physical fitness contexts, which introduces some ambiguity.",figure of speech,4,It is a well-known aphorism whose 'pain' and 'gain' stand broadly for effort and reward rather than literal physical pain.,normative,3,"It expresses a value judgment encouraging people to accept hardship in pursuit of goals. Its form resembles a descriptive regularity, which leaves some uncertainty.",knowledge,3,It states a general observation or belief about the relationship between effort and reward rather than presenting a conclusion derived from explicit premises. Its implied conditional structure adds slight ambiguity.,everyday,4,"People routinely experience situations where effort or discomfort leads to improvement, such as exercise, studying, or work.",1,It is a widely known and broadly accepted folk maxim reflecting the common understanding that meaningful achievement usually requires effort or sacrifice.
8454c65c669cf5d31da9c0dbed64368427108befe40ccf6ca3965c942bf14f0f:1,1180,"Schedules dictate daily routines, helping people organize their time efficiently.",,platform/published,anthropic/claude-opus-5.5:batch,fact,3,"That schedules structure routines and help organize time is a broadly verifiable claim about how schedules function. The word 'efficiently' adds some subjective evaluation, so confidence is not maximal.",social,4,"Schedules are human-made constructs for organizing activities, so the statement concerns social practice rather than natural laws.",literal language,3,The statement is plainly worded. 'Dictate' is mildly personifying but is standard usage and does not amount to a real figure of speech.,positive,3,"It describes what schedules do rather than prescribing what people should do. The implied value of efficiency makes it slightly normative, so confidence is moderate.",knowledge,3,It states a general observation about schedules rather than deriving a conclusion from premises. The 'helping' clause hints at a causal link but is not a real argument.,everyday,4,"People use schedules in daily life, at work, school and home, and directly experience their organizing role.",1,"Most people would readily agree, from ordinary experience, that schedules shape daily routines and help organize time."
d1da3a5aa75f6675fe9ca270b75eb3799238bac40a990a7ac14ae92918ecc3a8:1,560,"Longitude lines run vertically, connecting the North and South Poles.",,platform/published,anthropic/claude-opus-5.5:batch,fact,4,"Meridians of longitude are defined as lines running from the North Pole to the South Pole, which can be checked on any map or globe. It does not depend on anyone's opinion.",physical,2,"The statement describes the geometry of Earth's coordinate system and the physical poles. However, the longitude grid itself is a human-made convention, so I am somewhat unconfident.",literal language,3,"The statement plainly describes how longitude lines are oriented. 'Vertically' is only literally true relative to standard map orientation, so it is slightly imprecise but not figurative.",positive,3,"It describes how something in the world is, not how it ought to be. The underlying convention adds only minor doubt.",knowledge,4,It states a single piece of geographic information rather than drawing a conclusion from premises.,abstract,3,"Longitude lines are not directly observable in daily life and are learned through education, maps and globes. People do encounter maps regularly, which keeps my confidence from being higher.",1,"This is basic geography taught in school and widely known by most people, so it counts as general common knowledge."
13f4adf83455812df87be89b0d9a2735cedc667b986b29c16c8bfa80268c0ad1:1,1044,Growth often requires discomfort; stepping outside comfort zones reveals insights.,,platform/published,anthropic/claude-opus-5.5:batch,opinion,3,"The claim that growth requires discomfort and that leaving comfort zones reveals insights is a subjective life philosophy that cannot be objectively demonstrated. Some psychological research loosely supports it, which lowers my confidence slightly.",social,4,"It concerns personal growth, human experience, and psychological perceptions, which are intrinsically human rather than physical phenomena.",figure of speech,3,"""Stepping outside comfort zones"" is a metaphor, and the statement as a whole reads like an aphorism. The first clause is fairly literal, so I am not fully certain.",normative,3,"It expresses a value-laden belief about how personal growth works and implicitly encourages embracing discomfort. It is phrased descriptively, which introduces some ambiguity.",knowledge,2,"It mainly states an observation about life rather than an explicit logical derivation. However, the semicolon links two ideas in a way that could be read as supporting reasoning.",everyday,3,"People commonly experience discomfort when trying new things and can notice resulting growth in their ordinary lives. The notion of ""growth"" is somewhat general, but it is still grounded in everyday experience.",1,"The idea that growth comes from pushing past discomfort is a widely held, intuitive piece of folk wisdom that most people would readily accept."
