statement,fact,fact_explanation,fact_confidence,physical,physical_explanation,physical_confidence,literal language,literal language_explanation,literal language_confidence,positive,positive_explanation,positive_confidence,knowledge,knowledge_explanation,knowledge_confidence,everyday,everyday_explanation,everyday_confidence,commonsense,design_point,model
A rolling stone gathers no moss.,0,"It is a subjective maxim open to exceptions, not an objective fact.",3,0,"This is a socially transmitted proverb about human habits, not a physical law.",4,0,"It uses rolling stone and moss metaphorically, not literally.",4,1,It describes a recurring social tendency: restless people accumulate fewer attachments.,3,0,It infers that moving constantly leads to little accumulation.,3,0,It generalizes about life patterns beyond any single stone or person.,4,People commonly understand that constant movement prevents roots and accumulation.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",deepseek/deepseek-v4.1-flash
Birds of a feather flock together.,0,"It is a defeasible maxim, not a provable universal law.",3,0,"It is a socially learned observation about human grouping, not a physical rule.",4,0,It uses birds and feathers as a metaphor for people.,4,1,It describes a recurring social regularity of similarity and association.,3,0,It concludes that shared traits tend to draw people together.,3,0,It states a general pattern beyond specific birds or people.,4,People expect similar people to associate with one another.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",deepseek/deepseek-v4.1-flash
Too many cooks spoil the broth.,0,"It is a subjective proverb with exceptions, not a demonstrated fact.",3,0,"It concerns socially organized cooperation, not an objective physical process.",4,0,It uses cooking as a metaphor for group projects.,4,1,It describes a recurring social outcome when too many people manage one effort.,3,0,It reasons that excessive contributors can create conflicting outcomes.,3,0,It generalizes beyond one kitchen to many cooperative situations.,4,People often agree that too many helpers can ruin a shared task.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",deepseek/deepseek-v4.1-flash
The early bird catches the worm.,0,"It is a defeasible belief, not an objectively provable rule.",3,0,It is a socially shared maxim about advantageous human timing.,4,0,It uses a bird and worm as a metaphor for opportunity.,4,1,It describes a recurring social tendency that early action often wins opportunities.,3,0,It infers that earlier action tends to secure scarce rewards.,3,0,"It generalizes across many competitive situations, not one morning.",4,People commonly believe that acting early gives an advantage.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",deepseek/deepseek-v4.1-flash
A stitch in time saves nine.,0,"It is a subjective maxim with exceptions, not a strict fact.",3,0,It is a socially learned proverb about prudent human action.,4,0,It uses sewing as a metaphor for timely problem-solving.,4,1,It describes a recurring practical tendency that early repair reduces later cost.,3,0,It reasons that fixing a small problem now prevents bigger problems later.,4,0,It generalizes beyond sewing to many maintenance and planning contexts.,4,People often think small timely fixes prevent larger troubles.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",deepseek/deepseek-v4.1-flash
The squeaky wheel gets the grease.,0,"It is a subjective maxim that can fail, not an objective law.",3,0,It is a socially shared observation about communication and attention.,4,0,It uses a wheel and grease as a metaphor for complaints and help.,4,1,It describes a recurring social regularity about demands and responses.,3,0,It infers that visible complaints tend to draw corrective attention.,3,0,It generalizes beyond machinery to many social situations.,4,People commonly observe that those who complain loudly get attention.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",deepseek/deepseek-v4.1-flash
Actions speak louder than words.,0,"It is a subjective value-laden maxim, not a demonstrable fact.",3,0,It is a socially constructed belief about interpreting human conduct.,4,0,It uses loudness as a metaphor for communicative impact.,4,1,It describes a recurring social tendency to weight deeds over speech.,3,0,It concludes that observed deeds reveal more than stated intentions.,3,0,"It generalizes across relationships and contexts, not one conversation.",4,People generally trust behavior more than verbal promises.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",deepseek/deepseek-v4.1-flash
"Out of sight, out of mind.",0,"It is a defeasible maxim, not an objectively certain law.",3,0,It is a socially shared psychological observation about human attention.,4,0,It uses sight and mind as a compressed aphoristic image.,4,1,"It describes a recurring mental and social tendency, not a moral rule.",3,0,It infers that reduced presence tends to reduce attention and memory.,3,0,It generalizes about memory and absence beyond one instance.,4,People often forget things or people once they are no longer present.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",deepseek/deepseek-v4.1-flash
Two heads are better than one.,0,"It is a subjective proverb with exceptions, not a strict fact.",3,0,It is a socially learned belief about cooperative human effort.,4,0,It uses heads as a metaphor for minds or perspectives.,4,1,It describes a recurring social tendency that collaboration can improve outcomes.,3,0,It reasons that combining perspectives tends to produce better judgments.,3,0,It generalizes beyond one pair to many joint decisions.,4,People commonly think collaboration improves problem-solving.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",deepseek/deepseek-v4.1-flash
Practice makes perfect.,0,It is a subjective maxim because perfection is not guaranteed.,3,0,It is a socially transmitted belief about learning and human development.,4,0,"It is an aphorism with hyperbole in the word perfect, not plain literal speech.",4,1,It describes a recurring empirical tendency that practice improves performance.,3,0,It infers that repeated effort causes gradual improvement.,3,0,"It generalizes across skills and people, not one practice session.",4,People generally believe repeated effort improves skill.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",deepseek/deepseek-v4.1-flash
