source_id,source_row,statement,design_point,gen_model,judge_model,fact_classification,fact_confidence,fact_explanation,physical_classification,physical_confidence,physical_explanation,literal language_classification,literal language_confidence,literal language_explanation,positive_classification,positive_confidence,positive_explanation,knowledge_classification,knowledge_confidence,knowledge_explanation,everyday_classification,everyday_confidence,everyday_explanation,commonsense,commonsense_explanation
8d391623aade6713850c3445df16cb7f9c3a29d7b0eb673c98874997b3475004:1,1,"Because vaccines prevent deadly diseases, whole populations should be vaccinated.","['fact', 'physical', 'literal language', 'normative', 'reasoning', 'abstract']",anthropic/claude-fable-5.1,x-ai/grok-4.6,opinion,4,"The statement's conclusion uses 'should,' which is a subjective recommendation that cannot be demonstrated as objectively true or false independent of values.",social,3,"Although vaccines and diseases involve biology, the claim that entire populations ought to be vaccinated concerns human policy, preferences, and social rules rather than purely physical regularities.",literal language,4,"The wording is plain and direct, with no metaphor, hyperbole, or other figurative devices; it means exactly what it states.",normative,4,"The word 'should' expresses a value judgment about what ought to occur, not a description of an empirical regularity or scientific law.",reasoning,4,"The statement explicitly combines a premise with a logical inference to reach a conclusion, rather than merely reporting an observation.",abstract,3,"A policy applying to whole populations is a societal-level regularity that cannot be arrived at solely from any single person's ordinary, everyday experiences.",1,"The argument that disease prevention via vaccines justifies broad immunization is a widely shared, intuitive public-health principle that many people treat as obvious common sense."
99ba973aa129e040e9579e972828b9038922c3f41aa63e2c8613c2b41ce2f2bd:1,2,"Since carbon emissions warm the planet, humanity should burn fewer fossil fuels.","['fact', 'physical', 'literal language', 'normative', 'reasoning', 'abstract']",anthropic/claude-fable-5.1,x-ai/grok-4.6,opinion,4,"The presence of 'should' turns the statement into a value-laden recommendation that cannot be shown true or false independently of human preferences, so the whole utterance is an opinion.",social,3,"Although the premise cites a physical process, the statement’s main claim is a prescription for collective human conduct, which originates in social norms and choices.",literal language,4,"Every clause is used in its ordinary, non-metaphorical sense; no figures of speech appear.",normative,4,The word 'should' expresses a judgment about what ought to be done rather than a description of an empirical regularity.,reasoning,4,"The sentence explicitly draws a conclusion from a stated premise, combining a factual claim with a logical inference.",abstract,3,Planetary-scale warming caused by aggregate emissions cannot be observed or verified through any single person’s ordinary experience.,1,"The statement applies an everyday causal pattern (if X produces a bad effect, reduce X) to a widely recognized problem, which is a typical instance of human common-sense reasoning."
36e54578563e1570d40e4a53c03e8bf5883d00e68b08bb47bde4aafd397f2759:1,4,"Because radiation damages living cells, nuclear waste must be stored far from people.","['fact', 'physical', 'literal language', 'normative', 'reasoning', 'abstract']",anthropic/claude-fable-5.1,x-ai/grok-4.6,opinion,3,"The premise about radiation is objectively testable, but the 'must' frames a value-laden necessity that cannot be demonstrated true or false independently of safety preferences and risk tolerance.",physical,4,"The statement concerns radiation, living cells and nuclear material, all of which are empirical phenomena described by physics, biology and engineering rather than socially constructed rules.",literal language,4,"The wording is ordinary and direct, with no metaphor, hyperbole or other figurative device.",normative,4,"The modal 'must' expresses a prescription about what ought to be done, not a description of an observed regularity.",reasoning,4,"The sentence explicitly links a known fact to a conclusion via the causal connective 'because', thereby performing an inference.",abstract,3,Nuclear-waste isolation is a specialized technical and policy issue that ordinary individuals do not encounter through personal daily experience.,1,"The inference that hazardous radioactive material should be kept distant from people is a widely shared, intuitive safety principle."
134fa46ce35f24ec2677a0890d0bc716770fef3fe815d4ce5d93f9566e097f23:1,3,"Since antibiotics do not kill viruses, doctors should not prescribe them for colds.","['fact', 'physical', 'literal language', 'normative', 'reasoning', 'abstract']",anthropic/claude-fable-5.1,x-ai/grok-4.6,opinion,3,"The statement contains a 'should not' recommendation about medical practice, which is inherently subjective and cannot be demonstrated as objectively correct independently of values or goals. The biological premise is factual, but the overall claim is not.",physical,3,"The core justification rests on biological facts about antibiotics, viruses, and colds, which are empirical features of the natural world. Although it mentions doctors' actions, the statement is grounded in biology rather than purely social conventions.",literal language,4,"The wording is plain and direct, stating exactly what is meant without metaphor, hyperbole, or other figurative devices.",normative,4,"The use of 'should not' expresses a judgment about what doctors ought to do, rather than merely describing an empirical regularity.",reasoning,4,The statement explicitly uses 'Since' to combine a premise with logic in order to reach a conclusion about prescribing practices.,everyday,4,"Colds, antibiotics, and visits to doctors are ordinary experiences that most people encounter or hear about in daily life.",1,"This is widely shared practical knowledge that antibiotics are ineffective against viral colds, so they should not be used; it is a standard piece of everyday health advice."
850f13868e4f659a38f2990cccda96bd47d6fbb13f3d767140e45985f309ab43:1,6,"Because overfishing collapses fish populations, catch limits should be enforced.","['fact', 'physical', 'literal language', 'normative', 'reasoning', 'abstract']",anthropic/claude-fable-5.1,x-ai/grok-4.6,opinion,3,"The statement advocates for a policy action with 'should,' which is a subjective recommendation rather than an objectively verifiable claim, even though it rests on a factual cause.",social,3,"Although it mentions a biological consequence, the core of the statement is about implementing human-made regulations, which are social constructs.",literal language,4,"The language is direct and means exactly what it says, with no rhetorical devices or figurative expressions.",normative,4,"It expresses what ought to be done regarding catch limits, reflecting a value judgment rather than describing what is.",reasoning,4,"It uses a causal fact as a premise to logically support a recommended action, thus presenting reasoned inference.",abstract,3,"The topic involves population-level ecological dynamics and policy, which go beyond what an individual can observe in daily life.",1,The statement illustrates basic common-sense logic that harmful activities should be regulated to prevent damage to resources.
033fe4949421b3636581a72384feb02abd62b5523a708b0cd7d087a619e21115:1,5,"Since lead harms brain development, it should not be used in drinking-water pipes.","['fact', 'physical', 'literal language', 'normative', 'reasoning', 'abstract']",anthropic/claude-fable-5.1,x-ai/grok-4.6,opinion,3,"The premise about lead's harm is factual, but the overall claim that it 'should not' be used is a value-based recommendation that cannot be shown objectively true or false. Confidence is 3 because the mix of fact and prescription leaves some ambiguity.",physical,3,"The statement centers on the biological effect of lead and the material properties of pipes, which are objective features of the natural and engineered world. Confidence is 3 because the policy implication has a social overlay.",literal language,4,"The wording is plain and means exactly what it says, with no metaphor, hyperbole, or other figurative device. Confidence is 4 because the language is unambiguously direct.",normative,4,The word 'should' expresses a value judgment about what ought to be done rather than describing an empirical regularity. Confidence is 4 because the prescriptive force is explicit.,reasoning,4,"The statement draws an explicit conclusion from a stated premise using the connector 'since,' combining a fact with logic to reach a recommendation. Confidence is 4 because the inferential structure is clear.",abstract,3,"Although drinking water is familiar, the specific scientific claim about brain development and the general policy conclusion cannot be reached solely from ordinary personal observation. Confidence is 3 because the topic sits near the boundary with everyday experience.",1,Avoiding a known toxin in drinking-water infrastructure is a straightforward safety inference that most people would regard as basic common sense.
2ec0c849d96477388f1cd408a41439cc5ae43b1ebf7bc5ac7f20ec44e08cfdc7:1,7,"Since steel bridges fatigue over decades, they must be inspected regularly.","['fact', 'physical', 'literal language', 'normative', 'reasoning', 'abstract']",anthropic/claude-fable-5.1,x-ai/grok-4.6,fact,3,"Steel fatigue is a scientifically verifiable process, and the resulting need for inspections is an objective engineering requirement confirmed by failure data rather than personal belief. Confidence is moderate because the word 'must' adds a slight prescriptive tone.",physical,4,"The statement concerns material degradation of steel and structural integrity, which are governed by physics and engineering laws. There are no references to human beliefs or social rules.",literal language,4,"The wording is plain and denotes exactly the physical process and the inspection practice described, without metaphor, hyperbole, or other figurative devices.",normative,3,"The clause 'they must be inspected' expresses an obligation or recommended practice rather than a pure empirical description. The premise is positive, so overall confidence is only moderate.",reasoning,4,"The connector 'since' explicitly presents the inspection requirement as a logical conclusion drawn from the prior knowledge of fatigue, which is the definition of reasoning.",abstract,3,"Metal fatigue accumulating over decades is a scientific regularity that cannot be observed or inferred from ordinary personal experience alone. Bridges themselves are familiar, which slightly lowers confidence.",1,Most people share the practical understanding that physical objects degrade with time and that critical infrastructure therefore requires periodic safety checks.
a031d7154008f274e7beaa614f2bd07abc088de05c7f7ca333f4f1cdbff2f02b:1,10,"Because Earth's fresh water is finite, it should not be wasted.","['fact', 'physical', 'literal language', 'normative', 'reasoning', 'abstract']",anthropic/claude-fable-5.1,x-ai/grok-4.6,opinion,4,"The claim that water 'should not be wasted' is a value judgment that cannot be shown true or false independently of human preferences, even though it rests on a factual premise.",social,3,"Although the premise concerns a physical resource, the statement as a whole expresses a human preference and behavioral rule rather than an objective natural feature.",literal language,4,"The wording is ordinary and direct; there is no metaphor, hyperbole, or other figurative device.",normative,4,"The modal 'should' signals a prescription about what ought to be done, not a description of an empirical regularity.",reasoning,4,"The sentence explicitly links a premise to a conclusion with 'because,' combining a known fact with an inferred prescription.",abstract,3,The finiteness of Earth's entire freshwater supply is a planetary-scale regularity that cannot be established from any single person's ordinary experience.,1,The idea that a limited vital resource should not be squandered is a widely shared practical intuition that people routinely apply to daily water use.
58ac672523a04fe8133aeed9adb5e7af9fbaa6d8a5ae468f68988a69eb1d192e:1,12,"Because seatbelts reduce crash deaths, wearing them should be required.","['fact', 'physical', 'literal language', 'normative', 'reasoning', 'abstract']",anthropic/claude-fable-5.1,x-ai/grok-4.6,opinion,4,"The claim that seatbelts ought to be required is a value judgment that cannot be shown true or false independently of personal or societal preferences, even though the premise about crash deaths is factual.",social,3,"While the effect of seatbelts on deaths is a physical/biological fact, the statement’s main point is a socially constructed legal requirement, so the overall content is social.",literal language,4,"The wording is ordinary and means exactly what it says; there are no metaphors, hyperbole, or other figures of speech.",normative,4,"The word “should” expresses a prescription about what the law ought to be, which is a normative judgment rather than a description of an empirical regularity.",reasoning,4,"The statement draws an explicit conclusion (“therefore wearing them should be required”) from a stated premise, combining knowledge with logic.",everyday,3,"Seat-belt use and traffic-safety rules are situations people routinely encounter in ordinary life, even though the policy conclusion itself is somewhat general.",1,"The inference from “seatbelts save lives” to “they should be required” is a widely shared, everyday practical argument that most people regard as obvious common sense."
2611a7750d07897f620f8aff0f3ca030b7ad8f8862ee155b3a9043e2f32230df:1,11,"Since asteroid impacts have caused mass extinctions, we should track near-Earth objects.","['fact', 'physical', 'literal language', 'normative', 'reasoning', 'abstract']",anthropic/claude-fable-5.1,x-ai/grok-4.6,opinion,4,"The premise about past asteroid impacts is factual, but the overall statement uses 'should' to advance a subjective recommendation that cannot be shown true or false independently of values.",physical,3,"The claim concerns empirically measurable astronomical and paleontological events rather than human conventions or preferences, even though it ends in a policy suggestion.",literal language,4,"The wording is plain and direct, with no metaphor, hyperbole, or other figurative devices.",normative,4,"Although it cites an empirical regularity, the statement's main force is the prescriptive 'we should,' which expresses a value judgment.",reasoning,4,The sentence explicitly combines a known historical fact with a logical inference to reach a practical conclusion.,abstract,4,Mass-extinction events and systematic tracking of near-Earth objects lie far outside ordinary personal experience and require specialized scientific knowledge.,1,"The inference that past catastrophic impacts justify monitoring current threats is a straightforward, widely shared precautionary judgment rather than specialized expertise."
