statementId,statement,statementSource,fact,physical,literal language,positive,knowledge,everyday
8860,Fish rots from the head down.,GPT,1,1,1,1,1,1
8861,Bread always falls butter side down.,GPT,1,1,1,1,1,1
8862,Strawberries are sweet.,GPT,1,1,1,1,1,1
8863,Birds fly south for the winter.,GPT,1,1,1,1,1,1
8864,Bananas are high in potassium.,GPT,1,1,1,1,1,1
8865,Mountains are larger than hills.,GPT,1,1,1,1,1,1
8866,Plants grow towards light.,GPT,1,1,1,1,1,1
8867,The heart pumps blood through the body.,GPT,1,1,1,1,1,1
8868,Recycling conserves resources.,GPT,1,1,1,1,1,1
8869,Forests are dense with trees.,GPT,1,1,1,1,1,1
8870,Plastic pollution is a global concern.,GPT,1,1,1,1,1,1
8871,Hot things can burn you.,GPT,1,1,1,1,1,1
8872,Hot weather can cause dehydration.,GPT,1,1,1,1,1,1
8873,Electricity can be dangerous.,GPT,1,1,1,1,1,1
8874,Humans need water to survive.,GPT,1,1,1,1,1,1
8875,The world is your oyster.,GPT,0,0,1,0,1,0
8876,A problem shared is a problem halved.,GPT,0,0,1,0,1,0
8877,Love is blind.,GPT,0,0,1,0,1,0
8878,Promise is a debt.,GPT,0,0,1,0,1,0
8879,Content is king.,GPT,0,0,1,0,1,1
8880,"Less talk, more action.",GPT,0,0,1,0,1,0
8881,Foresight prevents mistakes.,GPT,0,0,1,0,1,0
8882,There is no honor among thieves.,GPT,0,0,1,0,1,0
8883,Respect for elders is a common value.,GPT,0,0,1,0,1,0
8884,Dreams are worth chasing.,GPT,0,0,1,0,1,0
8885,What goes around comes around,GPT,0,0,1,0,1,0
8886,Discrimination is unjust.,GPT,0,0,1,0,1,0
8887,Kind words have the power to build bridges.,GPT,0,0,1,0,1,0
8888,Trust is hard-earned.,GPT,0,0,1,0,1,0
8889,Art can be a form of self-expression.,GPT,0,0,1,0,1,0
8890,Shaking hands is a common greeting.,GPT,1,0,1,0,1,1
8891,Santa Claus brings presents to children on Christmas.,GPT,1,0,1,0,1,1
8892,Classical music helps with concentration.,GPT,1,0,1,0,1,1
8893,People celebrate birthdays.,GPT,1,0,1,0,1,1
8894,It's common to send holiday cards around December.,GPT,1,0,1,0,1,1
8895,Regular savings lead to financial stability.,GPT,1,0,1,0,1,1
8896,Graduating college increases job prospects.,GPT,1,0,1,0,1,1
8897,Crying helps to release emotions.,GPT,1,0,1,0,1,1
8898,Governments create laws.,GPT,1,0,1,0,1,1
8899,Students study for exams.,GPT,1,0,1,0,1,1
8900,Tea is enjoyed by many people.,GPT,1,0,1,0,1,1
8901,Cheating is frowned upon.,GPT,1,0,1,0,1,1
8902,Wait for your turn when in a queue.,GPT,1,0,1,0,1,1
8903,Being organized helps efficiency.,GPT,1,0,1,0,1,1
8904,Religious beliefs vary among cultures.,GPT,1,0,1,0,1,1
8905,The more the merrier.,GPT,0,0,1,0,1,1
8906,Relationships are about compatibility and intricate aims.,GPT,0,0,1,0,1,1
8907,Trust your instincts.,GPT,0,0,1,0,1,1
8908,Reading makes you smarter.,GPT,0,0,1,0,1,1
8909,Prioritizing family is essential.,GPT,0,0,1,0,1,1
8910,Social media has a negative impact on mental health.,GPT,1,1,1,0,1,1
8911,The truth hurts.,GPT,0,0,1,0,1,1
8912,Voting is a civic duty.,GPT,0,0,1,0,1,1
8913,Kindness matters deeply.,GPT,0,0,1,0,1,1
8914,People often nostalgic about their childhood.,GPT,0,0,1,0,1,1
8915,Music can improve mood.,GPT,0,1,1,0,1,1
8916,Dogs are loyal pets.,GPT,0,0,1,0,1,1
8917,Showing gratitude is good manners.,GPT,0,0,1,0,1,1
8918,Cheating is dishonest.,GPT,0,0,1,0,1,1
8919,Children learn by example.,GPT,0,0,1,0,1,1
8920,Hunger is the best sauce.,GPT,0,0,1,0,0,1
8921,Kindness costs nothing.,GPT,0,0,1,0,0,1
8922,Courtesy costs nothing but buys everything.,GPT,0,0,1,0,0,1
8923,A positive attitude attracts positive outcomes.,GPT,0,0,1,0,0,1
8924,A poor workman blames his tools.,GPT,0,0,1,0,0,1
8925,Beggars can't be choosers.,GPT,0,0,1,0,0,1
8926,A poor workman blames his tools.,GPT,0,0,1,0,0,1
8927,Helping others is a noble act.,GPT,0,0,1,0,0,1
8928,Perseverance pays off.,GPT,0,0,1,0,0,1
8929,Kindness begets kindness.,GPT,0,0,1,0,0,1
8930,Friendship enriches life.,GPT,0,0,1,0,0,1
8931,Actions should match words.,GPT,0,0,1,0,0,1
8932,Pets often bring joy to their owners.,GPT,0,0,1,0,0,1
8933,A smile often indicates friendliness.,GPT,0,0,1,0,0,1
8934,Compliments can boost a person's confidence.,GPT,0,0,1,0,0,1
8935,Time heals all wounds.,GPT,0,1,1,0,1,0
8936,A rising tide lifts all boats.,GPT,0,1,1,0,1,0
8937,Societal progress relies on equitable distribution of resources.,GPT,0,1,1,0,1,0
8938,Every rose has its thorn.,GPT,0,1,1,0,1,0
8939,Mathematics reveals universal truths.,GPT,0,1,1,0,1,0
8940,Digital transformation reshapes industries.,GPT,0,1,1,0,1,0
8941,Bridges connect communities and ideas.,GPT,0,1,1,0,1,0
8942,The pen is mightier than the sword.,GPT,0,1,1,0,1,0
8943,The squeaky wheel gets the grease.,GPT,0,1,1,0,1,0
8944,Precision in language ensures clarity.,GPT,0,1,1,0,1,0
8945,Artificial intelligence transforms industries.,GPT,0,1,1,0,1,0
8946,Metaphors create vivid imagery in language.,GPT,0,1,1,0,1,0
8947,Architecture shapes our built environment.,GPT,0,1,1,0,1,0
8948,Berlin Wall falling symbolized new freedoms.,GPT,0,1,1,0,1,0
8949,Sculpture can memorialize history.,GPT,0,1,1,0,1,0
8950,Figurative art represents human forms.,GPT,1,1,1,0,1,1
8951,Blockchain ensures secure transactions.,GPT,1,1,1,0,1,1
8952,Efficient algorithms optimize performance.,GPT,1,1,1,0,1,1
8953,Stars fill the night sky.,GPT,1,1,1,0,1,1
8954,Grammar rules structure languages.,GPT,1,1,1,0,1,1
8955,Artificial intelligence personalizes user experiences.,GPT,1,1,1,0,1,1
8956,Many faiths include anointing rituals.,GPT,1,1,1,0,1,1
8957,Nikola Tesla contributed significantly to electricity and magnetism.,GPT,1,1,1,0,1,1
8958,Michelangelo painted the Sistine Chapel ceiling.,GPT,1,1,1,0,1,1
8959,Soft lighting creates a calming ambiance.,GPT,1,1,1,0,1,1
8960,Technology drives modern communication.,GPT,1,1,1,0,1,1
8961,Social dancing combines exercise and socialization.,GPT,1,1,1,0,1,1
8962,Regular check-ups are important.,GPT,1,1,1,0,1,1
8963,Electricity powers modern technology.,GPT,1,1,1,0,1,1
8964,Dictionaries are useful for word meanings.,GPT,1,1,1,0,1,1
8965,The mountains stood as silent guardians.,GPT,0,1,1,0,1,1
8966,A watched pot never boils.,GPT,0,1,1,0,1,1
8967,Fresh sheets promise restful sleep.,GPT,0,1,1,0,1,1
8968,Journaling clears the mind.,GPT,0,1,1,0,1,1
8969,Painting captures moments in time.,GPT,0,1,1,0,1,1
8970,"Clean space, clear mind.",GPT,0,1,1,0,1,1
8971,Stop and smell the roses.,GPT,0,1,1,0,1,1
8972,Scenic drives relax the mind.,GPT,0,1,1,0,1,1
8973,Spending time outdoors lifts the spirits.,GPT,0,1,1,0,1,1
8974,Tidy spaces enhance focus.,GPT,0,1,1,0,1,1
8975,Digital innovations transform businesses.,GPT,0,1,1,0,1,1
8976,Photographers capture visual stories.,GPT,0,1,1,0,1,1
8977,Leonardo da Vinci painted the Mona Lisa.,GPT,0,1,1,0,1,1
8978,Fair weather friends are unreliable.,GPT,0,1,1,0,1,1
8979,Well-known landmarks foster tourism.,GPT,0,1,1,0,1,1
8980,Curiosity killed the cat.,GPT,0,0,1,0,0,0
8981,Understanding precedes ethical action.,GPT,0,0,1,0,0,0
8982,Manners maketh man.,GPT,0,0,1,0,0,0
8983,"Finders keepers, losers weepers.",GPT,0,0,1,0,0,0
8984,Fortune favors the bold.,GPT,0,0,1,0,0,0
8985,"No pain, no gain.",GPT,0,0,1,0,0,0
8986,Absence makes the heart grow fonder.,GPT,0,0,1,0,0,0
8987,Analysis of facts informs strategy.,GPT,0,0,1,0,0,0
8988,Knowledge dispels ignorance.,GPT,0,0,1,0,0,0
8989,Validation enhances self-worth.,GPT,0,0,1,0,0,0
8990,Grasping at straws means making a desperate attempt.,GPT,0,0,1,0,0,0
8991,Good manners open doors.,GPT,0,0,1,0,0,0
8992,Uplifting others builds morale.,GPT,0,0,1,0,0,0
8993,Educated guesses help make predictions.,GPT,0,0,1,0,0,0
8994,Leading by example fosters trust.,GPT,0,0,1,0,0,0
8995,Participating in marathons challenges and motivates.,GPT,0,1,1,0,1,1
8996,Cycling keeps you young.,GPT,0,1,1,0,1,1
8997,Chemical reactions often release energy.,GPT,1,1,1,1,1,1
8998,Earth has varied climates.,GPT,1,1,1,1,1,1
8999,"In right-angled triangles, a^2 + b^2 = c^2.",GPT,1,1,1,1,1,1
9000,The Cartesian plane maps geometric locations,GPT,1,1,1,1,1,1
9001,Grass feels soft underfoot.,GPT,1,1,1,1,1,1
9002,The Manhattan Project created nuclear weapons.,GPT,1,1,1,1,1,1
9003,Trees produce oxygen.,GPT,1,1,1,1,1,1
9004,Lightning precedes thunder.,GPT,1,1,1,1,1,1
9005,E=mc^2 is Einstein's theory of relativity.,GPT,1,1,1,1,1,1
