statement,fact,fact_explanation,fact_confidence,physical,physical_explanation,physical_confidence,literal language,literal language_explanation,literal language_confidence,positive,positive_explanation,positive_confidence,knowledge,knowledge_explanation,knowledge_confidence,everyday,everyday_explanation,everyday_confidence,commonsense,design_point,model
Larger objects require more force to move.,1,This can be demonstrated experimentally and is independent of opinion. It is a well-established physical principle.,4,1,This describes an objective feature of mechanics governed by Newton's laws. It is measurable and not socially constructed.,4,1,"The words mean exactly what they say with no metaphor or figurative meaning. It is plain, direct language.",4,0,"This is a physical law derived from Newton's mechanics, not a social judgment or value. Confidence is low because it is positive, not normative.",1,0,This conclusion combines the concept of mass with Newton's second law (F=ma). It is derived by linking knowledge of physics logically.,4,0,This generalizes across all objects and cannot be confirmed by a single experience alone. It goes beyond one specific everyday encounter.,3,People commonly understand that heavier things are harder to push or lift.,"['fact', 'physical', 'literal language', 'normative', 'reasoning', 'abstract']",qwen/qwen3.8-max-0902
Water flows downhill due to gravity.,1,This can be empirically verified and is true regardless of anyone's opinion. It is a demonstrable physical fact.,4,1,"This describes gravitational force acting on water, a purely physical phenomenon. It is not a social construct.",4,1,The statement uses plain language with no figurative meaning. Water literally flows and downhill is a literal direction.,4,0,"This describes a natural phenomenon rather than a judgment, value, or social norm. Confidence is low because it is positive, not normative.",1,0,This combines knowledge of gravity with the behavior of liquids to reach a conclusion. It links two physical concepts logically.,4,0,"This generalizes about gravity's effect on all water everywhere, beyond any single observation. It requires abstracting from many instances.",3,People widely know that water naturally moves from higher to lower elevations.,"['fact', 'physical', 'literal language', 'normative', 'reasoning', 'abstract']",qwen/qwen3.8-max-0902
Metal expands when heated sufficiently.,1,This can be measured with instruments and verified independently of opinion. It is a well-established physical fact.,4,1,"This describes thermal expansion, a measurable physical property of materials. It is governed by natural laws, not social rules.",4,1,The language is plain and direct with no metaphorical content. Metal literally expands when heat is applied.,4,0,"This is an empirical observation about material behavior, not a value judgment or norm. Confidence is low for normative classification.",1,0,This combines knowledge of thermal energy with molecular behavior to conclude expansion occurs. It links cause and effect through physical reasoning.,4,0,This generalizes across all metals and heating conditions beyond a single observation. It requires abstracting from multiple experiences or knowledge.,3,"People commonly know that heating metal causes it to grow larger, as seen in engineering.","['fact', 'physical', 'literal language', 'normative', 'reasoning', 'abstract']",qwen/qwen3.8-max-0902
Objects fall faster without air resistance.,1,This was demonstrated by experiments and is verifiable independently of opinion. It is a physical fact.,4,1,"This describes gravitational acceleration and fluid dynamics, purely physical phenomena. It is not a social construct.",4,1,"The statement uses plain, direct language with no figurative elements. Each word carries its literal meaning.",4,0,"This describes a physical principle, not a social norm or value judgment. Confidence is low for the normative feature.",1,0,"This combines knowledge of gravity, air resistance, and motion to reach a conclusion. It requires logical deduction from physical principles.",4,0,This generalizes about all objects in a vacuum condition not directly observable in daily life. It requires abstract reasoning beyond ordinary experience.,4,People understand that air slows falling objects and removing it speeds them up.,"['fact', 'physical', 'literal language', 'normative', 'reasoning', 'abstract']",qwen/qwen3.8-max-0902
Living cells require energy to function.,1,This can be demonstrated through biological experiments and is independent of opinion. It is a verified biological fact.,4,1,This describes a biological and biochemical process governed by natural laws. It is not socially constructed.,4,1,The language is plain and scientific with no figurative meaning. Cells literally require energy to perform functions.,4,0,"This describes a biological requirement, not a moral or social judgment. Confidence is low for the normative feature.",1,0,This combines knowledge of cellular processes with the concept of energy to conclude necessity. It links biological facts logically.,4,0,"This generalizes about all living cells, which cannot be directly observed individually. It requires abstracting from biological knowledge.",4,People commonly understand that biological organisms need energy sources to sustain life processes.,"['fact', 'physical', 'literal language', 'normative', 'reasoning', 'abstract']",qwen/qwen3.8-max-0902
Sound travels slower than light.,1,This can be measured precisely and is true regardless of opinion. The speed difference is a physical constant.,4,1,"This describes measurable physical properties of wave propagation. It is governed by natural laws, not social rules.",4,1,The statement is plain and direct with no figurative language. Sound and light literally travel at different speeds.,4,0,"This is a physical fact about wave propagation, not a value or norm. Confidence is low for the normative feature.",1,0,This combines knowledge of electromagnetic and mechanical wave speeds to reach a comparative conclusion. It requires logical comparison of physical constants.,4,0,This generalizes about all sound and light across all conditions. It cannot be fully grasped from a single everyday experience.,3,People commonly observe that lightning is seen before thunder is heard.,"['fact', 'physical', 'literal language', 'normative', 'reasoning', 'abstract']",qwen/qwen3.8-max-0902
Ice is less dense than liquid water.,1,This can be measured and verified independently of anyone's opinion. It is a well-established physical fact.,4,1,"This describes a measurable physical property of water's phases. It is governed by molecular physics, not social constructs.",4,1,The language is plain and scientific with no metaphor. Ice literally has lower density than liquid water.,4,0,"This is a physical property observation, not a social norm or value judgment. Confidence is low for normative classification.",1,0,This combines knowledge of molecular arrangement in solids and liquids with density concepts. It logically explains why ice floats.,4,0,This generalizes about the molecular structure of water in different states. It goes beyond simply seeing ice float.,3,"People commonly know that ice floats on water, implying lower density.","['fact', 'physical', 'literal language', 'normative', 'reasoning', 'abstract']",qwen/qwen3.8-max-0902
All mammals breathe oxygen to survive.,1,This can be demonstrated through biological science and is independent of opinion. It is a verified fact.,4,1,This describes a biological and biochemical process governed by natural laws. It is not a social construct.,4,1,"The statement uses plain, direct biological language. Mammals literally breathe oxygen and literally need it to survive.",4,0,"This is a biological fact, not a value judgment or social convention. Confidence is low for the normative feature.",1,0,This combines knowledge of mammalian biology with the role of oxygen in cellular respiration. It links biological systems logically.,4,0,"This generalizes across all mammal species, most of which one never encounters. It requires abstracting from biological knowledge.",4,"People commonly understand that mammals, including humans, need oxygen for life.","['fact', 'physical', 'literal language', 'normative', 'reasoning', 'abstract']",qwen/qwen3.8-max-0902
Friction generates heat between surfaces.,1,This can be measured with thermometers and verified independently of opinion. It is a physical fact.,4,1,This describes a measurable physical process governed by thermodynamics. It is not socially constructed.,4,1,The language is plain and direct with no figurative elements. Friction literally generates heat between physical surfaces.,4,0,"This describes a physical phenomenon, not a social norm or value. Confidence is low for the normative feature.",1,0,This combines knowledge of mechanical energy with thermal energy conversion. It logically connects friction to heat production.,4,0,This generalizes about all friction interactions beyond any single experience. It requires understanding energy conversion abstractly.,3,People commonly know that rubbing hands together or surfaces creates warmth.,"['fact', 'physical', 'literal language', 'normative', 'reasoning', 'abstract']",qwen/qwen3.8-max-0902
Planets orbit stars due to gravity.,1,This can be observed and calculated independently of opinion. It is a well-established astronomical fact.,4,1,"This describes gravitational physics governing celestial mechanics. It is a natural law, not a social construct.",4,1,"The statement uses plain, scientific language with no metaphor. Planets literally orbit and gravity literally causes it.",4,0,"This describes an astronomical physical mechanism, not a norm or value judgment. Confidence is low for the normative feature.",1,0,This combines knowledge of gravitational force with orbital mechanics to explain planetary motion. It links Newton's laws to astronomical observations.,4,0,This generalizes about all planetary systems and cannot be directly observed in everyday life. It requires astronomical knowledge.,4,People commonly understand that gravitational force keeps planets in orbit around stars.,"['fact', 'physical', 'literal language', 'normative', 'reasoning', 'abstract']",qwen/qwen3.8-max-0902
