statement,fact,fact_explanation,fact_confidence,physical,physical_explanation,physical_confidence,literal language,literal language_explanation,literal language_confidence,positive,positive_explanation,positive_confidence,knowledge,knowledge_explanation,knowledge_confidence,everyday,everyday_explanation,everyday_confidence,commonsense,design_point,model
"Therefore, adults who are eighteen can vote legally.",1,I am somewhat confident its legal truth can be checked in law independently of opinion. It is not subjective opinion.,3,0,I am very confident it concerns human-made voting rules governing society. It is not physical natural law.,4,1,I am very confident it uses plain direct wording with exact meaning. It contains no metaphor or hyperbole.,4,0,I am very confident it states a legal right and social norm about voting. It is not a positive physical regularity.,4,0,I am somewhat confident therefore signals a conclusion from legal knowledge and logic. It is not mere observation without inference.,3,0,I am very confident it refers to a legal voting system beyond personal experience. It is not an everyday directly observable encounter.,4,Most adults share this basic civic knowledge about voting age.,"['fact', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",meta/muse-spark-1.3
People who steal therefore face legal punishment by courts.,1,I am somewhat confident punishment for theft is verifiable in statutes independently. It is not mere subjective opinion.,3,0,I am very confident courts and punishment are human social constructions. They are not physical laws.,4,1,I am very confident it means exactly what it says in plain words. It has no figure of speech.,4,0,I am very confident it expresses a legal norm that theft deserves punishment. It is not a positive natural fact.,4,0,I am somewhat confident therefore combines knowledge of theft with logical consequence. It is not just stated knowledge.,3,0,I am very confident it refers to abstract legal consequences requiring system knowledge. It is not everyday personal observation alone.,4,Common sense knows stealing brings court punishment in society.,"['fact', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",meta/muse-spark-1.3
Therefore drivers must stop at red traffic lights.,1,I am somewhat confident the rule can be verified in traffic law objectively. It is not subjective opinion.,3,0,I am very confident traffic lights are human social rules for coordination. They are not physical laws.,4,1,I am very confident the wording is plain and literal. It uses no metaphor.,4,0,I am very confident must stop expresses a social obligation and norm. It is not a positive physical description.,4,0,I am somewhat confident therefore infers obligation from traffic knowledge and logic. It is not simple observation.,3,0,I am somewhat confident traffic law is an abstract system beyond one experience. It is not just everyday seeing a light.,3,Every driver commonly knows red lights mean mandatory stop.,"['fact', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",meta/muse-spark-1.3
Therefore marriage legally requires consent from both partners.,1,I am somewhat confident consent requirement is legally verifiable independently of opinion. It is not subjective opinion.,3,0,I am very confident marriage is a socially constructed human institution. It is not physical.,4,1,I am very confident the language is plain and exact. It contains no hyperbole.,4,0,I am very confident it states a value-laden legal norm about consent. It is not a positive empirical law.,4,0,I am somewhat confident therefore presents a legal conclusion from knowledge and logic. It is not mere knowledge statement.,3,0,I am very confident marriage law is an abstract institutional regularity. It is not learnable from single personal experience.,4,Most people know marriage requires mutual consent as common knowledge.,"['fact', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",meta/muse-spark-1.3
Contracts signed by adults are therefore legally binding obligations.,1,I am somewhat confident contract enforceability can be demonstrated in court records. It is not opinion.,3,0,I am very confident contracts are human social rules for cooperation. They are not physical facts.,4,1,I am very confident it uses ordinary literal legal terms. It has no figure of speech.,4,0,I am very confident binding obligations express a social norm of keeping promises. It is not positive physics.,4,0,I am somewhat confident therefore draws a logical legal conclusion from signing. It is more than plain knowledge.,3,0,I am very confident binding obligation is an abstract legal concept. It cannot be seen by everyday observation.,4,Common sense understands signed contracts create binding duties.,"['fact', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",meta/muse-spark-1.3
Therefore citizens must pay taxes under national law.,1,I am somewhat confident tax duty is verifiable in national law objectively. It is not subjective.,3,0,I am very confident taxes and citizenship are human social constructs. They are not physical.,4,1,I am very confident the sentence is plain and literal. It contains no metaphor.,4,0,I am very confident must pay expresses a normative civic duty. It is not a positive natural regularity.,4,0,I am somewhat confident therefore infers duty from citizenship knowledge and logic. It is not bare observation.,3,0,I am very confident national tax law is abstract and systemic. It is not everyday individual experience.,4,Paying taxes is widely known civic common sense.,"['fact', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",meta/muse-spark-1.3
Children under sixteen therefore cannot legally drive cars.,1,I am somewhat confident the age rule can be checked legally as true or false. It is not opinion.,3,0,I am very confident driving age is a human social regulation. It is not physical law.,4,1,I am very confident wording is direct and literal. It has no aphorism.,4,0,I am very confident cannot legally expresses a prohibitive social norm. It is not positive physics.,4,0,I am somewhat confident therefore derives a conclusion about children from legal knowledge. It is not mere knowledge.,3,0,I am somewhat confident age limits reflect abstract legal generalization. They are not just everyday seeing cars.,3,People commonly know children cannot drive legally.,"['fact', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",meta/muse-spark-1.3
Therefore property owners can legally exclude trespassers.,1,I am somewhat confident exclusion rights are demonstrable in property law. They are not opinion.,3,0,I am very confident property is a socially constructed human rule. It is not physical.,4,1,I am very confident it means exactly what it says plainly. It has no metaphor.,4,0,I am very confident can legally exclude states a normative entitlement. It is not positive natural fact.,4,0,I am somewhat confident therefore concludes a right from ownership knowledge and logic. It is not simple fact.,3,0,I am very confident property rights are abstract institutional regularities. They are not observable by touch alone.,4,Common sense says owners can keep trespassers off property.,"['fact', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",meta/muse-spark-1.3
Employees who work overtime therefore earn extra legal pay.,1,I am somewhat confident overtime pay rules are legally verifiable as fact. They are not opinion.,3,0,I am very confident employment pay is a human social institution. It is not physical.,4,1,I am very confident language is plain and literal. It includes no hyperbole.,4,0,I am very confident earn extra legal pay reflects a fairness norm. It is not positive physics.,4,0,I am somewhat confident therefore infers pay consequence from work knowledge. It is not mere description.,3,0,I am somewhat confident overtime law generalizes beyond single workplace experience. It is not everyday observation alone.,3,Workers commonly expect extra pay for overtime work.,"['fact', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",meta/muse-spark-1.3
Therefore public schools must admit all eligible children.,1,I am somewhat confident admission duty can be checked in education law. It is not opinion.,3,0,I am very confident public schools are human social institutions. They are not physical phenomena.,4,1,I am very confident wording is ordinary and literal. It has no metaphor.,4,0,I am very confident must admit expresses an inclusive social value and norm. It is not positive science.,4,0,I am somewhat confident therefore concludes admission from eligibility logic and knowledge. It is not mere fact.,3,0,I am very confident school admission policy is abstract systemic knowledge. It is not single everyday encounter.,4,Most know public schools must accept eligible children.,"['fact', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",meta/muse-spark-1.3
