statement,fact,fact_explanation,fact_confidence,physical,physical_explanation,physical_confidence,literal language,literal language_explanation,literal language_confidence,positive,positive_explanation,positive_confidence,knowledge,knowledge_explanation,knowledge_confidence,everyday,everyday_explanation,everyday_confidence,commonsense,design_point,model
"Because fire eats oxygen relentlessly, enclosed blazes will inevitably suffocate themselves.",1,"Combustion extinction can be empirically verified in a laboratory, so it is an objective fact rather than a subjective opinion. I am very confident in this categorization.",4,1,"It describes biological and chemical combustion governed by thermodynamics, making it firmly physical rather than social. I am very confident because combustion is purely natural.",4,0,"The phrase 'fire eats oxygen' uses personification and metaphor, meaning it is figurative rather than purely literal. I am very confident it contains figurative language.",4,1,"It describes an empirical regularity of how combustion operates, making it positive rather than a normative moral claim. I am very confident in this status.",4,0,"The statement uses causal logic to infer extinction from oxygen depletion, rather than stating a bare observation. I am very confident this represents reasoning over static knowledge.",4,0,It refers to generalized chemical principles across closed thermodynamic systems rather than a single direct sensory event. I am somewhat confident because it bridges general theory with practical experience.,3,"People understand that fire requires air to burn, so sealing it off extinguishes it.","['fact', 'physical', 'figure of speech', 'positive', 'reasoning', 'abstract']",google/gemini-3.8-flash
"Since water flows like liquid silver downhill, gravity always directs massive regional runoff.",1,"Gravitational fluid dynamics can be proven correct or incorrect by empirical measurement, making it factual rather than opinion. I am very confident this is a fact.",4,1,"It describes hydrological movements governed by gravity, which are objective physical phenomena rather than social constructs. I am very confident this is physical.",4,0,"Describing water as flowing 'like liquid silver' is a simile, so it is figurative rather than literal. I am very confident it uses a figure of speech.",4,1,It states how geophysical forces act in reality without making value judgments or ethical rules. I am very confident it is positive.,4,0,"It deduces runoff behavior from the physical nature of liquid and gravitational pull, demonstrating reasoning instead of a simple fact. I am very confident in this reasoning structure.",4,0,Regional hydrology requires aggregate geographical analysis beyond a single immediate human encounter. I am somewhat confident in this abstract classification.,3,Everyone knows that water naturally moves downward across terrain due to gravity.,"['fact', 'physical', 'figure of speech', 'positive', 'reasoning', 'abstract']",google/gemini-3.8-flash
"As winter blankets the hemisphere in ice, biological metabolism widely slows down.",1,"Biological metabolic rates across hemispheres are scientifically testable and verifiable, classifying this as a fact rather than opinion. I am very confident in this judgment.",4,1,"It deals with planetary seasonal temperatures and organismal physiology, which are entirely natural rather than social. I am very confident this is physical.",4,0,"The term 'blankets the hemisphere' is a metaphor for snow cover, making it figurative rather than literal. I am very confident in this feature.",4,1,The claim describes an empirical biological regularity instead of an ethical or normative standard. I am very confident it is positive.,4,0,"It infers widespread metabolic deceleration from continental temperature drops, displaying logical deduction rather than mere reporting. I am very confident it involves reasoning.",4,0,Hemispheric metabolic patterns represent macro-ecological dynamics that cannot be seen in a single everyday event. I am somewhat confident in its abstract nature.,3,Living organisms naturally become less active and conserve energy during freezing winter seasons.,"['fact', 'physical', 'figure of speech', 'positive', 'reasoning', 'abstract']",google/gemini-3.8-flash
"Because friction bites the wheels, vehicles inevitably bleed their kinetic energy dry.",1,"Deceleration due to friction is an experimentally testable physical truth, not an opinion. I am very confident this is an empirical fact.",4,1,"It concerns classical mechanics and kinetic friction in physics, which are physical rather than social phenomena. I am very confident this is physical.",4,0,Phrasing such as 'friction bites' and 'bleed their kinetic energy dry' employs personification and metaphor. I am very confident it is figurative.,4,1,It describes a physical law of deceleration without prescribing how people should behave. I am very confident it is positive.,4,0,It reasons from the premise of frictional forces to the necessary conclusion of kinetic dissipation. I am very confident this qualifies as reasoning.,4,0,Energy conservation and kinetic dissipation are abstract mechanical principles rather than pure raw sensations. I am somewhat confident in this categorization.,3,Moving vehicles naturally come to a halt because friction opposes their movement.,"['fact', 'physical', 'figure of speech', 'positive', 'reasoning', 'abstract']",google/gemini-3.8-flash
"Since mountains act as stone shields, leeward regions consistently starve of precipitation.",1,"Rain shadow precipitation differences are measurable empirical data, making this a fact rather than an opinion. I am very confident this is a fact.",4,1,"It describes geographical barriers and meteorological rain shadow effects, which are strictly physical rather than social. I am very confident this is physical.",4,0,Describing mountains as 'stone shields' that 'starve' regions uses metaphor and personification. I am very confident it is a figure of speech.,4,1,It articulates a descriptive climatic mechanism rather than a normative recommendation. I am very confident this is positive.,4,0,It infers rain deficits behind ranges based on the blocking action of topological barriers. I am very confident in its reasoning feature.,4,0,Rain shadow effects operate over large climate systems and cannot be observed entirely in one local moment. I am somewhat confident this is abstract.,3,"High mountain ranges block rain clouds, causing the land behind them to be dry.","['fact', 'physical', 'figure of speech', 'positive', 'reasoning', 'abstract']",google/gemini-3.8-flash
"Because sunlight is nature's fuel, completely shadowed flora inevitably withers and dies.",1,Photosynthetic dependence is an objectively provable botanical truth rather than a subjective opinion. I am very confident it is a fact.,4,1,"It is rooted in botany and photon-driven photosynthesis, which are biological and physical facts rather than social norms. I am very confident this is physical.",4,0,"Calling sunlight 'nature's fuel' is a clear metaphor, meaning the statement is not strictly literal. I am very confident in this figure of speech.",4,1,"It expresses an empirical biological rule about plant survival, not a moral judgment. I am very confident it is positive.",4,0,It logically concludes plant mortality from the absence of essential solar input. I am very confident this displays causal reasoning.,4,0,The underlying principle of photosynthetic energy conversion generalizes across entire plant kingdoms. I am somewhat confident this is abstract.,3,"Plants need sunlight to grow, so keeping them in total darkness kills them.","['fact', 'physical', 'figure of speech', 'positive', 'reasoning', 'abstract']",google/gemini-3.8-flash
"Since warm air swims upward like a cork, atmospheric thermal currents must circulate.",1,"The buoyant displacement of air by temperature differences is an objective physical fact, not an opinion. I am very confident this is factual.",4,1,"It explains buoyancy and fluid thermodynamics, which are natural physical laws rather than social conventions. I am very confident this is physical.",4,0,"Saying warm air 'swims upward like a cork' employs a vivid simile, making it figurative. I am very confident it contains figurative language.",4,1,It states a scientific law of fluid dynamics without any normative stance on how things ought to be. I am very confident it is positive.,4,0,"It reasons that because warm air is buoyant, systemic convective circulation must follow. I am very confident in this logical deduction.",4,0,Atmospheric convection models apply to regional meteorological systems beyond localized perception. I am somewhat confident this is abstract.,3,"Warm air rises above cold air, creating natural circulating drafts and winds.","['fact', 'physical', 'figure of speech', 'positive', 'reasoning', 'abstract']",google/gemini-3.8-flash
"Because metal drinks up heat rapidly, scorching handles will swiftly blister bare skin.",1,"Heat conduction rates and epidermal burn thresholds can be measured objectively, making this factual. I am very confident this is a fact.",4,1,"It pertains to thermal conduction in metallurgy and biological tissue damage, which are physical not social. I am very confident this is physical.",4,0,"The phrase 'metal drinks up heat' personifies thermal conduction, ensuring it is figurative rather than literal. I am very confident this is figurative.",4,1,It describes a causal thermodynamic regularity rather than an ethical value or rule. I am very confident it is positive.,4,0,It deduces skin blistering by connecting metal conductivity with high heat transfer. I am very confident this is logical reasoning.,4,0,Thermodynamic transfer rates summarize generalized material properties rather than merely one personal burn. I am somewhat confident in its abstract character.,3,"Metal cookware conducts heat very quickly, so touching hot metal burns human hands.","['fact', 'physical', 'figure of speech', 'positive', 'reasoning', 'abstract']",google/gemini-3.8-flash
"As rust silently devours unpainted iron, unprotected structures gradually surrender their strength.",1,"Oxidation and tensile degradation of metals can be objectively verified and tested, marking it as a fact. I am very confident it is a fact.",4,1,"It involves the chemical oxidation of iron, which is an objective natural process rather than a social construct. I am very confident this is physical.",4,0,"Stating that rust 'silently devours' and structures 'surrender' uses personification, making it figurative. I am very confident in this figure of speech.",4,1,It describes a material degradation process without expressing a normative moral view. I am very confident this is positive.,4,0,It reasons that continuous chemical corrosion will result in structural integrity loss over time. I am very confident this represents reasoning.,4,0,Material degradation over structural lifespans involves longitudinal chemical phenomena beyond single casual glimpses. I am somewhat confident it is abstract.,3,"Leaving iron exposed to moisture makes it rust, eventually causing structures to weaken and collapse.","['fact', 'physical', 'figure of speech', 'positive', 'reasoning', 'abstract']",google/gemini-3.8-flash
"Because lightning strikes like an electric dagger, ungrounded towers naturally invite catastrophe.",1,"Electrical conductance and strike damage are verifiable through empirical physics, establishing this as a fact. I am very confident it is a fact.",4,1,"It is based on electrical potential gradients and atmospheric discharge, making it physical instead of social. I am very confident this is physical.",4,0,Comparing lightning to an 'electric dagger' and saying towers 'invite catastrophe' employs simile and personification. I am very confident it is figurative.,4,1,It details the behavior of electrical discharges as a factual regularity rather than a normative demand. I am very confident it is positive.,4,0,It uses electrical discharge principles to deduce severe damage for ungrounded elevated structures. I am very confident this is deductive reasoning.,4,0,Electromagnetic discharge principles characterize broad energetic systems rather than merely local observations. I am somewhat confident in this abstract categorization.,3,Tall structures must be grounded because lightning seeks the path of least resistance to the ground.,"['fact', 'physical', 'figure of speech', 'positive', 'reasoning', 'abstract']",google/gemini-3.8-flash
