statement,fact,fact_explanation,fact_confidence,physical,physical_explanation,physical_confidence,literal language,literal language_explanation,literal language_confidence,positive,positive_explanation,positive_confidence,knowledge,knowledge_explanation,knowledge_confidence,everyday,everyday_explanation,everyday_confidence,commonsense,design_point,model
"Since power is a borrowed crown, leaders should serve rather than rule.",0,"Prioritizing service over domination is clearly a value judgment, not an objectively provable fact.",4,0,"Leadership and legitimate authority are clearly human social arrangements, not physical properties.",4,0,"The borrowed crown clearly symbolizes temporary, entrusted authority rather than literal royal headwear.",4,0,It explicitly prescribes how leaders should behave rather than reporting how they actually behave.,4,0,It clearly infers a duty of service from the premise that power is entrusted rather than owned.,4,0,It clearly proposes a general philosophy of authority rather than describing an everyday encounter.,4,"It expresses the familiar expectation that authority brings responsibilities, not merely privileges.","['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",openai/gpt-6-astra
"Because justice should be blind, wealth should never buy a lighter verdict.",0,"Equal treatment is clearly endorsed as a moral ideal, not established as an empirical fact.",4,0,"Justice, wealth-based privilege, and verdicts clearly belong to human institutions rather than natural laws.",4,0,Blind justice clearly personifies impartiality; justice itself does not literally possess eyesight.,4,0,"It clearly states how courts ought to treat wealth, not an empirical claim about existing verdicts.",4,0,It clearly deduces opposition to preferential verdicts from the premise that justice requires impartiality.,4,0,It clearly concerns impartial justice across society rather than one observable courtroom incident.,4,It applies the familiar fairness principle that money should not secure special treatment.,"['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",openai/gpt-6-astra
"Since education opens society’s doors, opportunity should not depend on inherited keys.",0,"Rejecting inherited privilege as a basis for opportunity is clearly a value judgment, not a measurable fact.",4,0,"Education, opportunity, and inherited privilege clearly concern socially organized advantages rather than physical mechanisms.",4,0,"Doors and inherited keys clearly represent opportunities and family advantages, not literal locks.",4,0,It explicitly recommends how opportunity should be distributed rather than describing its actual distribution.,4,0,"It plausibly infers broad access from education's enabling role, although an equality premise remains implicit.",3,0,It clearly addresses society-wide opportunity rather than a particular person's everyday educational experience.,4,It reflects the intuitive belief that people deserve chances beyond those supplied by family privilege.,"['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",openai/gpt-6-astra
"Because trust is society’s glue, institutions should prize honesty over convenient deception.",0,"The priority assigned to honesty is clearly evaluative, even though consequences of deception can be studied.",4,0,"Trust, honesty, and institutional obligations clearly depend on human relationships rather than physical laws.",4,0,Calling trust glue clearly describes social cohesion metaphorically rather than literal adhesion.,4,0,It explicitly ranks institutional conduct by desirability rather than merely reporting a social regularity.,4,0,It clearly derives an institutional duty of honesty from trust's assumed importance to society.,4,0,"It clearly generalizes about institutional legitimacy and social cohesion, not a single everyday interaction.",4,It extends the familiar importance of being trustworthy to institutions that people rely upon.,"['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",openai/gpt-6-astra
"Since freedom needs room to breathe, governments should tolerate peaceful dissent.",0,"The obligation to tolerate dissent is clearly a political value judgment, not an objectively verifiable fact.",4,0,"Freedom, government, and dissent clearly concern human political arrangements rather than natural processes.",4,0,"Freedom needing to breathe is clearly personification, not a literal biological claim.",4,0,It explicitly prescribes governmental restraint rather than stating what governments typically do.,4,0,It clearly infers tolerance of dissent from the premise that freedom requires latitude.,4,0,It clearly proposes a general relationship between liberty and legitimate government rather than describing one protest.,4,It expresses the intuitive connection between genuine freedom and permission to disagree.,"['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",openai/gpt-6-astra
"Because poverty is no moral stain, societies should offer help without humiliation.",0,"The connection between poverty and moral worth is clearly evaluated ethically, not settled by measurement.",4,0,"Moral status, humiliation, and social assistance clearly concern human judgments and institutions rather than physical properties.",4,0,A moral stain clearly means discredit or shame rather than a literal discoloration.,4,0,It explicitly recommends dignified assistance rather than reporting how assistance is currently provided.,4,0,It clearly reasons that poverty's lack of moral blame removes justification for humiliating recipients.,4,0,It clearly advances a societal principle of dignity rather than describing an individual act of charity.,4,It reflects the familiar principle that needing assistance does not erase someone's dignity.,"['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",openai/gpt-6-astra
"Since cultures are woven from many threads, belonging should not demand uniformity.",0,"Rejecting uniformity as a condition of belonging is clearly a subjective social ideal, not a demonstrable fact.",4,0,Culture and belonging are clearly human meanings and affiliations rather than physical classifications.,4,0,Woven threads clearly symbolize diverse cultural contributions rather than literal textile fibers.,4,0,It explicitly rejects a requirement for belonging rather than describing actual membership practices.,4,0,"It plausibly reasons from cultural diversity to inclusive membership, although the value of preserving diversity is implicit.",3,0,It clearly addresses cultural membership generally rather than one person's everyday inclusion.,4,It draws on the familiar idea that people can belong together without being identical.,"['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",openai/gpt-6-astra
"Because markets need guardrails, profit should not excuse exploitation.",0,"Limits on acceptable profit-seeking are clearly value judgments, not objectively provable economic facts.",4,0,"Markets, profit, and exploitation clearly involve human economic arrangements and moral judgments rather than natural laws.",4,0,Guardrails clearly stand for protective rules rather than literal roadside barriers.,4,0,It explicitly denies a moral excuse for exploitation rather than describing market behavior.,4,0,It clearly derives a limit on profit-seeking from the premise that markets require ethical constraints.,4,0,It clearly concerns the moral organization of markets rather than an everyday purchase.,4,It expresses the familiar judgment that making money does not justify mistreating people.,"['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",openai/gpt-6-astra
"Since future generations lack a voice, today’s policies should leave them a livable inheritance.",0,"What present generations owe future people is clearly a moral judgment, not a purely measurable fact.",4,0,"Political representation and intergenerational responsibility clearly concern human decision-making, despite their environmental implications.",4,0,"Voice symbolizes political influence, while inheritance extends metaphorically to the world left behind rather than merely property.",4,0,It explicitly prescribes responsible policymaking rather than predicting future living conditions.,4,0,It clearly infers protective responsibility from future people's inability to influence current decisions.,4,0,"It clearly concerns obligations across generations, which exceed any individual's ordinary experience.",4,It applies the familiar responsibility to consider people affected by decisions who cannot represent themselves.,"['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",openai/gpt-6-astra
"Because technology is a tool, not a master, innovation should serve human dignity.",0,Making dignity innovation's guiding priority is clearly a value judgment rather than a technical fact.,4,0,"The focus is clearly technology's proper human purpose, not its measurable engineering properties.",4,0,The contrast between tool and master clearly personifies technology's possible authority rather than describing literal mastery.,4,0,It explicitly identifies an ethical goal for innovation rather than an empirical trend.,4,0,It clearly infers that innovation should serve people from technology's assigned subordinate role.,4,0,It clearly proposes a broad philosophy of technological progress rather than describing use of one device.,4,It expresses the familiar expectation that useful inventions should benefit people rather than subordinate them.,"['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",openai/gpt-6-astra
