statement,fact,fact_explanation,fact_confidence,physical,physical_explanation,physical_confidence,literal language,literal language_explanation,literal language_confidence,positive,positive_explanation,positive_confidence,knowledge,knowledge_explanation,knowledge_confidence,everyday,everyday_explanation,everyday_confidence,commonsense,design_point,model
A rolling stone gathers no moss.,1,"The literal claim about moss on a rolling stone can be tested, though the human application is not factual. I am somewhat unconfident because the proverb is not usually meant as a factual claim.",2,0,"The meaning concerns human lifestyle and social success, not a physical law. I am very confident it is social because it is a proverb about human behavior.",4,0,It is a metaphor comparing an active person to a rolling stone. I am very confident it is figurative because the literal stone is not the intended subject.,4,1,"It describes an empirical regularity about movement and moss, not a moral rule. I am somewhat confident because the proverb is often used normatively, but the literal claim is positive.",3,0,It presents a conclusion drawn from combining the image of a rolling stone with the idea that moss needs stillness. I am somewhat confident because it is also a fixed saying rather than a fresh inference.,3,0,The conclusion about people who keep moving cannot be learned from one direct experience. I am very confident it is abstract because it generalizes beyond everyday observation.,4,"It expresses a widely understood social lesson that constant movement prevents stagnation, using a natural image metaphorically.","['fact', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",~deepseek/deepseek-pro-latest
The early bird catches the worm.,1,"The literal claim about bird feeding can be observed, but the human application is not objectively testable. I am somewhat unconfident because the proverb is not primarily factual.",2,0,"Its intended meaning concerns human success and effort, not biology. I am very confident it is social because it is a proverb about human behavior.",4,0,It is a metaphor for human initiative using a bird and worm. I am very confident it is figurative because the literal bird is not the real subject.,4,1,"It states a regularity about birds and worms, not a rule of conduct. I am somewhat confident because it is often used to encourage action, which is normative.",3,0,It reasons that birds that arrive early will get food before others. I am somewhat confident because the saying is a fixed expression rather than a new logical derivation.,3,0,The lesson that early action leads to advantage is a general conclusion beyond a single experience. I am very confident it is abstract because it is a broad principle.,4,"It is a common saying that rewards promptness, using animal behavior to teach a social lesson.","['fact', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",~deepseek/deepseek-pro-latest
A chain is only as strong as its weakest link.,1,"The literal engineering claim can be tested, but the social application is not strictly factual. I am somewhat confident because the literal claim is factual but the proverb is not used that way.",3,0,"The saying is used to describe human organizations and teams, not engineering. I am very confident it is social because its common use is about social systems.",4,0,It is a metaphor for human groups or systems. I am very confident it is figurative because the chain is not meant literally.,4,1,"It describes a physical property of chains, not a value judgment. I am very confident it is positive because the literal claim is empirical.",4,0,It combines knowledge of chains with the logic that failure occurs at the weakest point. I am very confident it is reasoning because it presents a causal conclusion.,4,0,The conclusion about group vulnerability is a general principle not learned from one direct observation. I am very confident it is abstract because it generalizes across contexts.,4,It is a common metaphor meaning a group or system fails at its most vulnerable point.,"['fact', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",~deepseek/deepseek-pro-latest
"You can lead a horse to water, but you can't make it drink.",1,"The literal claim about horses can be tested, but the human lesson is not objectively verifiable. I am somewhat unconfident because the proverb is not meant as a factual statement.",2,0,"The saying is about human choice and motivation, not animal behavior. I am very confident it is social because it is used to explain human situations.",4,0,It is a metaphor using a horse to represent a person. I am very confident it is figurative because the horse is not the intended subject.,4,1,"It states an empirical fact about horses and drinking, not a norm. I am very confident it is positive because the literal claim is observable.",4,0,It reasons that providing opportunity does not guarantee action. I am very confident it is reasoning because it draws a conclusion about causation and choice.,4,0,The conclusion about human autonomy is a general principle beyond direct experience. I am very confident it is abstract because it is a broad lesson.,4,It means you can give someone an opportunity but cannot force them to take it.,"['fact', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",~deepseek/deepseek-pro-latest
Don't count your chickens before they hatch.,1,"The literal claim about eggs can be tested, but the human advice is not factual. I am somewhat unconfident because the proverb is not primarily a factual claim.",2,0,The intended meaning concerns human expectations and planning. I am very confident it is social because it is a proverb about human behavior.,4,0,It is a metaphor for premature optimism about future outcomes. I am very confident it is figurative because chickens represent plans or results.,4,1,"It describes a factual risk about eggs and hatching, not a moral rule. I am somewhat confident because the saying is advisory, but the literal claim is positive.",3,0,"It reasons that unhatched eggs may not become chickens, so counting them is premature. I am very confident it is reasoning because it presents a logical caution.",4,0,The lesson about premature certainty is a general conclusion not learned from one event. I am very confident it is abstract because it is a broad principle.,4,"It warns against assuming success before it is certain, using a farm metaphor.","['fact', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",~deepseek/deepseek-pro-latest
The pen is mightier than the sword.,1,The claim about influence is difficult to test objectively and may be opinion. I am somewhat unconfident because it is not clearly demonstrable as true or false.,2,0,"It concerns human power, persuasion, and conflict. I am very confident it is social because it is about human institutions and actions.",4,0,It is a metonymy and metaphor using pen and sword to represent writing and violence. I am very confident it is figurative because the objects are symbolic.,4,1,"It makes a comparative claim about influence, not a normative rule. I am somewhat confident because it can be read as a value judgment, but it is framed as a factual comparison.",3,0,It reasons that ideas can cause more change than force. I am very confident it is reasoning because it presents a comparative causal conclusion.,4,0,The conclusion about writing versus violence is a broad generalization beyond individual experience. I am very confident it is abstract because it is a general claim about power.,4,It means communication and ideas can have more influence than violence.,"['fact', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",~deepseek/deepseek-pro-latest
Actions speak louder than words.,1,The claim about human behavior is not objectively testable in a strict sense. I am somewhat unconfident because it is a general truth rather than a demonstrable fact.,2,0,It concerns human communication and trust. I am very confident it is social because it is about interpersonal perception.,4,0,It is a metaphor comparing actions and words as sounds with volume. I am very confident it is figurative because actions do not literally speak.,4,1,"It states a regularity about human behavior, not a rule. I am somewhat confident because it can be used normatively, but the claim is descriptive.",3,0,It reasons that actions provide stronger evidence of intent than words. I am very confident it is reasoning because it draws an inferential conclusion.,4,0,The conclusion about behavior versus speech is a general principle not learned from one case. I am very confident it is abstract because it is a broad generalization.,4,It means what people do reveals more than what they say.,"['fact', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",~deepseek/deepseek-pro-latest
A picture is worth a thousand words.,1,The claim is not objectively measurable and may be subjective. I am somewhat unconfident because it is a saying rather than a testable fact.,2,0,It concerns human communication and understanding. I am very confident it is social because it is about how people process information.,4,0,It is a hyperbole and metaphor comparing images to words. I am very confident it is figurative because a picture cannot literally equal a word count.,4,1,"It makes a descriptive claim about communication efficiency, not a moral rule. I am somewhat confident because it can be used to justify choices, but the claim is positive.",3,0,It reasons that a single image can convey as much as many words. I am very confident it is reasoning because it presents a comparative conclusion.,4,0,The conclusion about visual versus verbal information is a general principle beyond direct experience. I am very confident it is abstract because it is a broad claim about communication.,4,It means visual information can convey complex ideas more efficiently than verbal description.,"['fact', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",~deepseek/deepseek-pro-latest
All that glitters is not gold.,1,"The literal claim about shiny objects can be tested, but the human application is not factual. I am somewhat unconfident because the proverb is not primarily factual.",2,0,The saying is used to describe human deception and value judgments. I am very confident it is social because its common use is about social perception.,4,0,It is a metaphor for attractive but worthless things. I am very confident it is figurative because glitter and gold are symbolic.,4,1,"It states a factual caution about shiny objects, not a norm. I am very confident it is positive because the literal claim is empirical.",4,0,It reasons that glittering is not sufficient evidence of gold. I am very confident it is reasoning because it draws a logical conclusion about evidence.,4,0,The conclusion about deceptive appearances is a general principle not learned from one instance. I am very confident it is abstract because it is a broad lesson.,4,It means appearances can be deceptive and not everything attractive is valuable.,"['fact', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",~deepseek/deepseek-pro-latest
Birds of a feather flock together.,1,"The literal bird behavior can be observed, but the human social claim is not strictly testable. I am somewhat unconfident because the proverb is not primarily factual.",2,0,The saying is about human social grouping and similarity. I am very confident it is social because it is used to explain human relationships.,4,0,It is a metaphor comparing similar people to birds with like feathers. I am very confident it is figurative because the birds are not the intended subject.,4,1,"It states an observable regularity about birds, not a rule. I am very confident it is positive because the literal claim is empirical.",4,0,It reasons that similar traits lead to association. I am very confident it is reasoning because it presents a causal conclusion about grouping.,4,0,The conclusion about human social patterns is a general principle beyond direct experience. I am very confident it is abstract because it is a broad generalization.,4,It means similar people tend to associate with each other.,"['fact', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",~deepseek/deepseek-pro-latest
