source_id,source_row,statement,design_point,gen_model,judge_model,fact_classification,fact_confidence,fact_explanation,physical_classification,physical_confidence,physical_explanation,literal language_classification,literal language_confidence,literal language_explanation,positive_classification,positive_confidence,positive_explanation,knowledge_classification,knowledge_confidence,knowledge_explanation,everyday_classification,everyday_confidence,everyday_explanation,commonsense,commonsense_explanation
b4f780734aab020f00befacff9ade0576ad4b239abb1e71ff5826fb5c736a3e0:1,85,"Lead damages developing brains, so water pipes should not contain lead.","['fact', 'physical', 'literal language', 'normative', 'reasoning', 'abstract']",anthropic/claude-opus-5.5,z-ai/glm-5.3-flash:batch,fact,4,"Lead's neurotoxicity and lead pipe hazards are empirically demonstrable, and the pipe recommendation follows from them.",physical,4,"It concerns biology (lead's effect on brains) and engineering (pipe materials), not social constructs.",literal language,4,The statement means exactly what it says with no metaphor or hyperbole.,normative,3,"The first clause is a positive empirical claim, but the statement prescribes what should be done, making it normative overall.",reasoning,4,It combines the factual knowledge that lead damages developing brains with logic to conclude pipes should not contain lead.,everyday,3,"Water pipes and drinking water safety are everyday concerns people commonly encounter, though the toxicology detail is specialized.",1,Avoiding a known toxin in drinking water infrastructure is a straightforward safety inference most people would accept as common sense.
67e69212d03ab47e2ad791db44ba344573ecb7ecdccfa0c237f51fea2834ebd4:1,1012,A stitch in time saves nine.,"['opinion', 'physical', 'figure of speech', 'normative', 'knowledge', 'everyday']",anthropic/claude-opus-5.5,z-ai/glm-5.3-flash:batch,fact,2,"The claim that timely repair saves greater effort is in principle testable, though it is a rough generalization rather than a precise fact.",physical,2,"It concerns the objective consequence of fixing a small problem early versus late, though the sewing imagery is human-originated.",figure of speech,4,This is a well-known aphorism; it uses sewing as a metaphor for acting early to prevent bigger problems.,positive,2,"It describes an empirical regularity about the consequences of early action, not a value judgment or convention.",reasoning,3,"The statement is a conclusion derived from knowledge that small problems grow over time, combined with causal reasoning.",everyday,3,It reflects ordinary experiences like fixing small problems early before they become larger ones.,1,This is a classic proverb expressing widely shared practical wisdom: addressing small problems promptly prevents larger ones later.
331b54c53169f3e80d8175394f3fa846e47b7464f7eee83eb756361b2ef1ec27:1,301,"In most countries, driving without a valid license is against the law.","['fact', 'social', 'literal language', 'normative', 'knowledge', 'abstract']",anthropic/claude-opus-5.5,z-ai/glm-5.3-flash:batch,fact,3,"Whether most countries make unlicensed driving illegal can be verified against actual laws, so it is demonstrable. Confidence is slightly reduced because it requires surveying many jurisdictions.",social,4,"Licensing laws are socially constructed rules created by governments, not features of nature or physics.",literal language,4,The statement plainly describes the legal status of unlicensed driving with no metaphor or hyperbole.,normative,2,"It reports a social convention/law (a social norm), so it falls under normative despite having an empirical 'most countries' component; this is why confidence is low.",knowledge,3,"It is a stated observation about the world's laws, not a conclusion derived by combining premises with logic.",everyday,4,Driving and driver's licenses are ordinary experiences people commonly encounter in daily life.,1,"Most people know from ordinary life and general awareness that driving legally requires a valid license in most countries, making this a typical piece of common social knowledge."
ef6338f8c06719a985445456865047d9416ed1863748885aef0f84b2e908eafe:1,831,"The plant is dying of thirst, so its leaves are drooping.","['fact', 'physical', 'figure of speech', 'positive', 'reasoning', 'everyday']",anthropic/claude-opus-5.5,z-ai/glm-5.3-flash:batch,fact,4,The statement makes an empirically verifiable claim about the plant's condition and its observable effect. Whether the plant is dying and drooping can be checked objectively.,physical,4,"It concerns biological processes of a plant, namely water deprivation causing drooping leaves. This is governed by natural rules, not human beliefs or conventions.",figure of speech,3,"'Dying of thirst' is a somewhat figurative/personifying way to describe dehydration, though it is only mildly non-literal. A plant cannot literally die 'of thirst' in the human sense.",positive,4,"The statement describes an empirical cause-and-effect relationship in the world. It makes no judgment, value, or normative claim.",reasoning,3,"The statement combines an observation (the plant lacks water) with an inference (therefore its leaves droop). It presents a conclusion derived via causal reasoning, not a bare observation.",everyday,4,Watering houseplants and noticing drooping leaves is an ordinary situation many people encounter. No abstract scientific generalization beyond individual experience is required.,1,"This reflects basic everyday common sense: people generally know that lack of water makes plants wilt, and the statement connects the observed drooping to that familiar cause."
d0449b27f0a1a72ea995dd97813fcbb2e8b8ceaf61e32caf3244f85de918441c:1,21,"The climate is a ticking bomb, so coastal cities will drown this century.","['opinion', 'physical', 'figure of speech', 'positive', 'reasoning', 'abstract']",anthropic/claude-opus-5.5,z-ai/glm-5.3-flash:batch,fact,2,"The claim that coastal cities will drown is an empirical prediction that could in principle be verified or falsified by sea-level data, not inherently subjective. The metaphorical framing complicates it, but the underlying assertion is testable.",physical,4,"The statement concerns sea levels, climate, and geography, all objective features of the natural world governed by physical processes, not socially constructed beliefs.",figure of speech,4,"'The climate is a ticking bomb' is clearly a metaphor, and 'coastal cities will drown' is hyperbolic rather than a precise literal prediction, since not all coastal cities will literally be submerged this century.",positive,3,"The statement describes an empirical claim about how the world will behave, not a value judgment or prescription about what should happen. It makes a predictive assertion rather than expressing a norm.",reasoning,3,"The statement combines a premise (climate change is an urgent, growing threat) with a derived conclusion (coastal cities will be inundated), presenting a cause-and-effect inference rather than a simple observation.",abstract,3,"The claim involves large-scale, century-long projections about global climate and sea levels that no individual could observe or conclude through ordinary personal experience.",0,"The statement relies on specialized scientific knowledge about climate models and sea-level projections, not on general everyday understanding, and its metaphorical, hyperbolic framing goes beyond what common sense alone would support."
e388808ca3ab56ccf81ecb40ef88fa48591b0711da91e90088032873eb6e2656:1,602,Entropy is time's arrow; the universe always drifts toward disorder.,"['fact', 'physical', 'figure of speech', 'positive', 'knowledge', 'abstract']",anthropic/claude-opus-5.5,z-ai/glm-5.3-flash:batch,fact,3,"The second law of thermodynamics and entropy increase are empirically testable, though the metaphorical 'time's arrow' framing makes it slightly interpretive.",physical,4,"Entropy and thermodynamics are objective physical concepts described by physics, not human constructs.",figure of speech,4,"'Time's arrow' is a well-known metaphor, and 'disorder' is a loose, figurative gloss of entropy.",positive,4,"The statement describes an empirical regularity about the physical world, not a value judgment.",reasoning,2,"It combines scientific knowledge of entropy with a logical inference linking entropy to the direction of time, though it mostly reads as a stated fact.",abstract,4,Entropy and cosmological disorder are scientific abstractions not observable through ordinary everyday experience.,0,"This is a scientific/thermodynamic principle requiring specialized knowledge, not a piece of everyday human common sense."
e93117d2e6dffab90d1ea3f85a1ed86222802848bff60973d8cabfd8b26f3656:1,956,"Her birthday is today, so she is one year older than last year.","['fact', 'social', 'literal language', 'positive', 'reasoning', 'everyday']",anthropic/claude-opus-5.5,z-ai/glm-5.3-flash:batch,fact,4,"Whether she is one year older is objectively verifiable from her birth date and today's date, regardless of anyone's opinion.",social,3,"Aging itself is biological, but birthdays and the convention of incrementing age on a specific calendar date are human/social constructs.",literal language,4,"The statement means exactly what it says with no metaphor, hyperbole, or idiom.",positive,4,"It describes an empirical regularity about how age changes over time, not a judgment or value.",reasoning,3,The second half is a conclusion derived from the premise (birthday today) plus the logic that age increases by one each year.,everyday,4,Birthdays and getting a year older are ordinary experiences everyone encounters.,1,Understanding that a birthday marks turning one year older is a basic piece of everyday common sense that nearly all humans know.
0e130e6c3836ff1dad2e4cf073f28412a830e4ffb1f9af675ee25e70853183bd:1,14,"Tariffs build walls around markets, so imported goods cost more at home.","['fact', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",anthropic/claude-opus-5.5,z-ai/glm-5.3-flash:batch,fact,3,"Tariffs raising import costs is a demonstrable economic effect, though the metaphorical framing is stylized.",social,3,"Tariffs and markets are human-constructed institutions, not natural or physical phenomena.",figure of speech,4,The statement uses the metaphor of tariffs 'building walls' around markets rather than literal walls.,positive,3,"It describes an empirical regularity about how tariffs affect prices, without expressing any value judgment.",reasoning,3,"It draws a causal conclusion (tariffs make imports costlier) by applying economic logic, not merely stating an observation.",abstract,3,It states a general economic regularity about markets rather than a specific everyday experience an individual directly encounters.,1,The statement conveys widely shared intuitive economic understanding that trade barriers raise domestic prices of imported goods.
c381be707fde4216d1b4ceed653bd45d049c9d909fef9deb74b3c7796055fc10:1,826,"My stomach is roaring, so I haven't eaten in hours.","['fact', 'physical', 'figure of speech', 'positive', 'reasoning', 'everyday']",anthropic/claude-opus-5.5,z-ai/glm-5.3-flash:batch,fact,3,"The claim about stomach noise and time since eating is a factual claim about the world, though the inference itself may be unreliable. It can be verified independently of opinion.",physical,4,"Stomach sounds and hunger are biological/physiological phenomena governed by natural rules, not socially constructed.",figure of speech,3,Stomachs do not literally roar; 'roaring' is a metaphor/hyperbole for stomach growling.,positive,4,"The statement describes an empirical state of affairs about the speaker's body, not a value judgment or norm.",reasoning,4,"The statement combines an observation (stomach roaring) with logic (stomachs growl when hungry) to infer a conclusion (haven't eaten in hours), making it a reasoning process.",everyday,4,Hunger and stomach growling are ordinary experiences people encounter in daily life.,1,"The statement reflects common human knowledge that stomach growling indicates hunger and a long time without eating, an inference everyone makes from everyday experience."
3a74522f5c31b9655e37383fc6582eda3a2436a1479b7d55b33b0b00b4b48b17:1,840,"The fridge is a desert, so there's nothing to cook for dinner.","['fact', 'physical', 'figure of speech', 'positive', 'reasoning', 'everyday']",anthropic/claude-opus-5.5,z-ai/glm-5.3-flash:batch,fact,3,"The emptiness of the fridge and whether there is something to cook can be checked objectively, even though 'desert' is figurative.",physical,3,"The claim concerns the physical contents of a fridge and what can be prepared from them, which is empirically checkable rather than socially constructed.",figure of speech,4,"Calling a fridge 'a desert' is a metaphor meaning it is nearly empty, not that it is literally an arid landscape.",positive,4,"The statement describes how the world is (the fridge is empty and nothing is available to cook), not a value judgment or prescription.",reasoning,3,"The speaker infers 'nothing to cook for dinner' from the observation that the fridge is empty, combining knowledge with everyday logic.",everyday,4,Checking the fridge before dinner is an ordinary household situation anyone could encounter.,1,Understanding that 'a desert fridge' means it is empty and that an empty fridge implies nothing to cook for dinner is a typical everyday inference requiring common sense.
